,Duration,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4
46,2.814e-07,3.692130325124325,3.696130770522668,3.643257611022985,3.648333754166738,3.513271555183107,3.5193749826254392,3.4669744028138427,3.4690808203467585,3.390190426798441,3.3935730631730356
47,2.873e-07,3.6776096373507086,3.68068555755383,3.606696054490258,3.6058692909387773,3.5379779136528504,3.5393419016868024,3.521226840543505,3.523872981494007,3.521226840543505,3.523872981494007
48,2.932e-07,3.6627425855325684,3.6692639247460437,3.5043308399095476,3.506608732194768,3.5439479764086173,3.548617140056961,3.4139547770141845,3.4159475031331787,3.4139547770141845,3.4159475031331787
49,2.991e-07,3.701933422835806,3.7113767003946947,3.734366765355817,3.740242810783834,3.6870470024092645,3.690819439044086,3.4564860725671824,3.4598927576912075,3.4564860725671824,3.4598927576912075
50,3.05e-07,3.571286764636892,3.5728712622477987,3.544905297338512,3.5464117097035333,3.558492378867406,3.5604029611116683,3.4547125905017086,3.4565800677907146,3.4547125905017086,3.4565800677907146
51,3.109e-07,3.6079129331551254,3.611232790374163,3.6604734411478983,3.6658341266460153,3.5770925149226342,3.583195005824996,3.4585459294723693,3.459808093992805,3.4585459294723693,3.459808093992805
52,3.168e-07,3.672419809727987,3.6759458107340626,3.530882195082063,3.5351306375911373,3.619528846650631,3.626753574492152,3.43588166023719,3.4379302945417627,3.43588166023719,3.4379302945417627
53,3.227e-07,3.708754273689897,3.716127675336809,3.5576415628350477,3.563576326724683,3.5315724698083093,3.5359574043501705,3.5222200889588704,3.52444269652799,3.5222200889588704,3.52444269652799
54,3.286e-07,3.6902559555383188,3.6924504533583793,3.5707938793526126,3.5678803754073316,3.5040481638345446,3.5106347800769546,3.4841958685572303,3.488184756810049,3.4841958685572303,3.488184756810049
55,3.345e-07,3.6616762607422437,3.663779866169001,3.6280276015299977,3.637946570001742,3.5277728461537343,3.532262413953654,3.589921879453928,3.5957501365138325,3.589921879453928,3.5957501365138325
56,3.404e-07,3.6426416597305438,3.6443973206379088,3.619347680781413,3.6180199249444165,3.5446410736646285,3.5530876715434436,3.450838315547923,3.454192216714576,3.450838315547923,3.454192216714576
57,3.463e-07,3.6798263108502596,3.6819105530043235,3.576033055135044,3.580032251676448,3.6034633422675886,3.6083367770765724,3.523361058827203,3.529440122744931,3.523361058827203,3.529440122744931
58,3.522e-07,3.6767266525623383,3.679138226319317,3.6136441136581614,3.6132530657810826,3.608123137037744,3.6158582271061532,3.444620892433868,3.4445434326717934,3.444620892433868,3.4445434326717934
59,3.581e-07,3.654974412762618,3.660538741728334,3.575243459662653,3.5781981912745215,3.562583403811085,3.5693970909312593,3.520934798141923,3.5242140510131494,3.520934798141923,3.5242140510131494
60,3.6400000000000003e-07,3.654266012892936,3.6582389724998183,3.6097766582396376,3.6151595180540683,3.5810067474246687,3.5804239211144315,3.500836388794818,3.506446318771306,3.500836388794818,3.506446318771306
61,3.699e-07,3.6051534156444034,3.6032906208273303,3.5747608916396176,3.580244324870659,3.483685206770423,3.488791334416246,3.5373476247149167,3.5410157399763382,3.5373476247149167,3.5410157399763382
62,3.758e-07,3.6118902972003575,3.611385868060227,3.433209266267917,3.4370822768610596,3.54118223120091,3.5471928944771998,3.3819843584155254,3.3870127107100947,3.3819843584155254,3.3870127107100947
63,3.817e-07,3.624677763913348,3.6209759150043492,3.569793451361114,3.575390575756358,3.519103873102257,3.521725650143283,3.4922083065280005,3.4946617327896163,3.4922083065280005,3.4946617327896163
64,3.876e-07,3.5917028256925,3.589705100668208,3.5883932859891043,3.591629747300717,3.4535532017020003,3.451874065070576,3.4861754713909905,3.4905597813690448,3.4861754713909905,3.4905597813690448
65,3.935e-07,3.6424074021472492,3.641277670801379,3.59355846295212,3.598669587614216,3.5485787234014023,3.553315352679698,3.489180805105402,3.49215240345598,3.489180805105402,3.49215240345598
66,3.994e-07,3.6428249996573014,3.6456594808696723,3.6298972697015706,3.633425147034102,3.536201639175219,3.541666331749556,3.5167909921353537,3.5242893270505196,3.5167909921353537,3.5242893270505196
67,4.053e-07,3.6367443718267687,3.6394379889922446,3.640769198184291,3.646509688239693,3.595711712571473,3.5989213145753682,3.472234838772776,3.478168039838938,3.472234838772776,3.478168039838938
68,4.112e-07,3.6678015491592397,3.668336899606085,3.5862721761071508,3.589528941419678,3.567278174630061,3.5708866328329565,3.5082263339345854,3.5128761316709354,3.5082263339345854,3.5128761316709354
69,4.171e-07,3.651066395522042,3.653615398610684,3.6189600673350544,3.6186436666617623,3.5272456226172904,3.5281935728710208,3.4042007265479333,3.407047076524811,3.4042007265479333,3.407047076524811
70,4.23e-07,3.6449479751311253,3.651826317243603,3.555244981495288,3.5574235498658098,3.5636313035063547,3.5640176671241517,3.4866071304926463,3.487412654750038,3.4866071304926463,3.487412654750038
