,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7
13,3.0826000000000002,6.087499338876145,6.503177907565813,6.091192103294781,6.507101181379095,6.032553439593384,6.449100873680684,6.037240229255107,6.438556962190298,6.01302531760574,6.418715743958069,5.989432819541131,6.397471738749374,6.1797163720621,6.6110852574037615,6.1797163720621,6.6110852574037615
14,3.0828,5.927803424982752,6.328911719616609,6.2338369078928295,6.656530232689977,5.852931270671275,6.246376272528598,5.93250087951959,6.340005646175595,6.170852772041667,6.581167308764247,6.246314636288094,6.6743377722219295,6.137002906191758,6.553494306367177,6.137002906191758,6.553494306367177
15,3.083,6.167868887224211,6.590547766391605,6.076726033880677,6.490891604419669,5.398262109381253,5.770002916887417,5.896176578079044,6.299932218033456,5.952904293292229,6.362990555237209,5.9430258240771145,6.356460042518,5.712709665869803,6.095501748380841,5.712709665869803,6.095501748380841
16,3.0832,5.761264727220591,6.148473038920573,5.941436345243338,6.3492262470492316,5.976971945736306,6.3812671354796855,6.023276351217404,6.431453957792884,6.353909845657226,6.778520178262077,6.071825660767475,6.484503894723857,6.006212151487805,6.413170352371586,6.006212151487805,6.413170352371586
17,3.0834,5.976290227063199,6.385570040044402,5.903765000394869,6.3085498418377455,6.346504515959877,6.779826740006221,6.1163927397072815,6.532192834849595,6.099728782385118,6.521000796169732,6.097344328997847,6.517240447538525,6.284540568195499,6.721582945225799,6.284540568195499,6.721582945225799
18,3.0836,6.2873607340613935,6.718910594925001,5.826962752805439,6.224022039341097,6.171533524150744,6.593092713697095,5.928430801641172,6.320285403612855,6.180851393714295,6.608095162363688,6.082176929786958,6.499816728355949,6.234332651272866,6.662563818714631,6.234332651272866,6.662563818714631
19,3.0838,6.288134988284736,6.717102393450744,6.073571961439162,6.485849412347245,5.708292977580768,6.099608216400467,5.969916242637593,6.3679139496909976,6.1439569494856885,6.561887624941663,6.061335923615168,6.473602477577822,6.2275415035781805,6.647160465369561,6.2275415035781805,6.647160465369561
20,3.084,6.277477236845176,6.700916167493966,6.005725604709267,6.413715796947479,6.340700560736837,6.7719518854130785,6.22224919406001,6.648383654047204,6.11046959962223,6.520401114676184,5.820475953503154,6.212842354852722,6.160825682997148,6.570410890509845,6.160825682997148,6.570410890509845
21,3.0842,5.994894448582572,6.401683968122419,6.0157647303884225,6.423300829480496,6.0982897996478185,6.50757818236529,6.052137002076232,6.459185846549221,6.29071505012865,6.71893442786193,6.195395253886797,6.612589444505404,6.04078021676458,6.448697965393738,6.04078021676458,6.448697965393738
22,3.0844,5.787243489625775,6.1817012804488005,5.776980430667849,6.167884360395383,6.112091377998382,6.5216859119595485,6.029751101228405,6.442022254614418,6.278873657355094,6.6954554794127,6.24100688926927,6.6612193230173835,6.147058478790981,6.567109919962719,6.147058478790981,6.567109919962719
