,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5
18,3.0836,6.608364757919903,7.023577702554621,6.420433764724245,6.822717366964397,6.66328303904605,7.072225462868937,6.221184973855578,6.616131089509268,5.898676823704736,6.273576224151186,5.898676823704736,6.273576224151186
19,3.0838,6.304667851768242,6.706115755713116,6.209149455355071,6.591696199352685,6.15044248800155,6.531025176563938,6.382388078934338,6.774880917183701,6.317981647460186,6.714026726185383,6.317981647460186,6.714026726185383
20,3.084,6.208262366560425,6.592375180825576,6.211026283407592,6.606796399656473,6.224389762408504,6.614438389686623,6.272774965176852,6.672193858072025,6.244540750415925,6.639334813469192,6.244540750415925,6.639334813469192
21,3.0842,6.332858524972725,6.72943798252292,6.026339342303701,6.407411031306713,6.253898937544785,6.650262288273783,5.968856555722651,6.33869916822455,6.253365155275611,6.641367309293224,6.253365155275611,6.641367309293224
22,3.0844,6.170833487155306,6.557516826597814,5.846934743037365,6.213257821038899,6.001282899856821,6.37242769683769,6.536245474917851,6.9547013765706724,6.237159046170426,6.62850043155403,6.237159046170426,6.62850043155403
23,3.0846,6.556408681343742,6.959511066997918,6.17298685946472,6.567636801028145,6.17285260074352,6.553444054016987,6.083524352947576,6.4686681402915145,6.465358696197985,6.861945819403119,6.465358696197985,6.861945819403119
24,3.0848,6.2296868720524765,6.61825434570592,6.263293015010002,6.656501634135378,6.379969451021789,6.778145995636441,5.605837102945766,5.961658978613972,5.9005836523356505,6.271555908960054,5.9005836523356505,6.271555908960054
25,3.085,6.153397743388308,6.546319472509491,6.190546635766258,6.5781730183839775,5.7271246069810475,6.0851805539092965,6.040534127541603,6.427413802954801,6.800798638241871,7.2292057805053584,6.800798638241871,7.2292057805053584
26,3.0852,5.823738190490483,6.189440888603767,6.2594873959137685,6.647624561386993,6.2868082501094,6.677770824505677,6.390687230392131,6.788374675229221,6.052776731514732,6.43714207797348,6.052776731514732,6.43714207797348
27,3.0854,6.454354485664174,6.861023372440944,6.385909041855064,6.805053133513718,6.1392316233185715,6.527351112231571,6.020912934008587,6.404610468734376,6.478750816886864,6.897144495156984,6.478750816886864,6.897144495156984
28,3.0856,6.338583647341814,6.736276039150686,6.1305827328515665,6.523023125557666,6.111002948989902,6.493645576315841,5.878843283505034,6.244838505883638,6.422180945097256,6.831687159513003,6.422180945097256,6.831687159513003
29,3.0858,6.401720157815853,6.8046180713667574,6.152498812811358,6.537651985824282,6.287369206275764,6.682317265990527,6.195777859428276,6.587307554624495,6.1269020529026825,6.518851808882903,6.1269020529026825,6.518851808882903
30,3.0860000000000003,6.230466147253293,6.628017522104493,6.082213822816655,6.458862525956083,6.35523477515315,6.753309457902069,6.243143059182565,6.63423430702786,6.388252275356959,6.780773922596776,6.388252275356959,6.780773922596776
31,3.0862000000000003,6.260996294539252,6.652363000823924,6.064182193340542,6.44271114272593,6.226763863188668,6.612847255855607,6.234063677590291,6.623730906577003,5.826374993362577,6.189433415166159,5.826374993362577,6.189433415166159
32,3.0864000000000003,6.121439068165641,6.513694257587075,5.426497558233468,5.7694511709833805,6.197177922733936,6.5879688960939715,6.318532948489441,6.7131999165053005,5.723566883540776,6.082049766459644,5.723566883540776,6.082049766459644
33,3.0866000000000002,6.332486413969774,6.722321182968416,6.114829358869912,6.501081959160725,6.162310004791496,6.551594825187905,6.286349841516812,6.679770561662175,6.280441782961121,6.6675253746281395,6.280441782961121,6.6675253746281395
34,3.0868,6.188424034632855,6.576764697698449,5.85414552624808,6.228512609013709,6.061562861217151,6.4443758733446,6.170731430942346,6.562948851325382,6.417679904512725,6.814528388914213,6.417679904512725,6.814528388914213
