,Tau,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4
32,1.7360000000000002e-06,2.9179483645548228,2.9226197099438487,2.93560146477817,2.935597716644918,2.926768824662333,2.926849720368511,1.8015417111331014,1.7662736738748865,1.3910117230736188,1.4140292157915988
33,1.7840000000000002e-06,2.9169719926212694,2.921706429890583,2.932463079597808,2.936298293730741,2.9257883932671334,2.926177879464289,1.7587200698467997,1.7926978525208042,1.4248098829554916,1.3874307647047481
34,1.8320000000000002e-06,2.9202568634340476,2.9194760158665733,2.933501608493637,2.932786039511517,2.92697528144016,2.928066594958212,1.7660022570442244,1.7656902364572389,1.3977357517325755,1.4697298082190278
35,1.8800000000000002e-06,2.9213341219629627,2.9195491023013376,2.936030306861768,2.9346838123087875,2.9250993717372444,2.9265351954362284,1.767959374793419,1.7390692920478614,1.4162190249613027,1.3676987686989717
36,1.928e-06,2.923260630135169,2.921500910957464,2.9343755331636387,2.933324511881559,2.9253361257420467,2.9259870406110324,1.784756935488488,1.7244999501722977,1.3930150546477993,1.44363580389359
37,1.9760000000000002e-06,2.9212547873654473,2.9241476733568614,2.9375398420725602,2.932197591847951,2.923222526722523,2.924775789763463,1.8188792987625888,1.757468220402272,1.4006517548866386,1.4362018151815463
38,2.0240000000000004e-06,2.920641041182467,2.92253787721609,2.9364432188545324,2.9342093690468976,2.92573435889837,2.9284488990915323,1.8234660153709856,1.7753758406589044,1.4247942873843271,1.4387736288922646
39,2.0720000000000002e-06,2.92130507516793,2.92104926924888,2.9342796456072375,2.9338498667021704,2.9262787662748004,2.9267794458766483,1.789794019095569,1.7726310335872142,1.4162499490632585,1.41328678361647
40,2.12e-06,2.9207375545164505,2.923083846588943,2.93354377465869,2.933490052371471,2.929917205522781,2.9335372169304637,1.7648237994926543,1.7582425171468676,1.4125343554719978,1.4035739891347645
41,2.1680000000000002e-06,2.922033450212816,2.920245931926258,2.9347122360379805,2.9333063961803236,2.9300483881059174,2.9288668088978924,1.7836259686590012,1.7573701551574779,1.4249363818258456,1.417645783888972
42,2.2160000000000005e-06,2.9193451462029496,2.9186180201231653,2.932874118949985,2.932463080517324,2.928629430839199,2.9263896466488233,1.8248100000271208,1.7166799278923803,1.4261460662063146,1.4068057649335086
43,2.264e-06,2.92125072825231,2.919757746657478,2.93291753421169,2.9340175933483175,2.9324252900099226,2.932378127317143,1.7385195798188404,1.7645170877198848,1.4234874475936052,1.4595453841639936
44,2.312e-06,2.916901091831185,2.917049765547534,2.9332064483949565,2.93202674311148,2.928322089726786,2.9291794605223904,1.790868785872701,1.75025290477662,1.4041958697634305,1.4094943722082958
45,2.3600000000000003e-06,2.9181067215287486,2.9165290962775985,2.935157943884762,2.935800113569089,2.932054856224261,2.930096489691232,1.7984636131100025,1.7805875390990902,1.422997078220882,1.4345430052486803
46,2.4080000000000005e-06,2.9197649310190767,2.918584287780539,2.933624982772926,2.9347234802382736,2.930474107287472,2.9316338227497956,1.7818550055443232,1.77286433892333,1.4281344292373783,1.4495708475345925
47,2.456e-06,2.917731289696172,2.9204292751968652,2.9347981289510026,2.9340029134830568,2.928500747431261,2.9298772260066634,1.8233201379870714,1.800838010604525,1.4195191878291726,1.4303804499231625
48,2.504e-06,2.9206819582445327,2.9178284266994017,2.9343314945011816,2.9353453473215754,2.929326572975776,2.930940117419107,1.779329745482513,1.789280235319673,1.4397805880212469,1.3942191218533297
49,2.5520000000000003e-06,2.9181757477942556,2.9193648234437917,2.9341112949206436,2.932923781315991,2.929113870246132,2.927681169798391,1.7843402860890252,1.807056053247738,1.393371115409793,1.4095315380445381
50,2.6000000000000005e-06,2.9206994484145503,2.9204701920819898,2.9313386598595557,2.934387090788378,2.927870446347948,2.9277539436055227,1.7846035901992519,1.7981522040515547,1.3864768970681203,1.4322291903410604
51,2.648e-06,2.9215989849044273,2.920399914903491,2.9353387877916792,2.9352300940292615,2.9271898583523615,2.9258724124573865,1.8029025639275689,1.8163393730606932,1.4180680634469702,1.3872046351632552
52,2.696e-06,2.919734008067464,2.916815197643087,2.93316334512472,2.9319989444754135,2.9274466018422536,2.9278398364871165,1.7768379054900834,1.7815932590999122,1.384347046336715,1.3693844744943062
53,2.7440000000000003e-06,2.9195453552430775,2.9167258692019096,2.934165016491538,2.933817070875014,2.9283127181716235,2.9286025687024257,1.8062480014190572,1.7347346567965929,1.4220556762976273,1.3950084188278125
