,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12,Signal Run 13,Background Run 13,Signal Run 14,Background Run 14,Signal Run 15,Background Run 15,Signal Run 16,Background Run 16,Signal Run 17,Background Run 17,Signal Run 18,Background Run 18,Signal Run 19,Background Run 19,Signal Run 20,Background Run 20,Signal Run 21,Background Run 21,Signal Run 22,Background Run 22,Signal Run 23,Background Run 23,Signal Run 24,Background Run 24,Signal Run 25,Background Run 25,Signal Run 26,Background Run 26,Signal Run 27,Background Run 27,Signal Run 28,Background Run 28,Signal Run 29,Background Run 29,Signal Run 30,Background Run 30,Signal Run 31,Background Run 31,Signal Run 32,Background Run 32,Signal Run 33,Background Run 33,Signal Run 34,Background Run 34,Signal Run 35,Background Run 35
10,2.84,3.716264702474791,3.7134981653315737,3.3513908245492203,3.33319028702484,3.169017411805618,3.155748213382435,2.976710061034978,2.9817138639359886,2.965437394141409,2.96790037905373,2.8969516581837707,2.9052069091229633,2.6741552747679984,2.676524240547766,2.6726835874954324,2.658535222374206,2.6049227771422707,2.6002364215704112,2.498038079258015,2.491381127714805,2.3754683054427783,2.3714557433264813,2.25863953084336,2.2585490980207927,2.1730794769752944,2.1803919364477413,2.1858040099186202,2.1860161942892633,2.100310936734797,2.1118952698926385,2.053955558309599,2.0503537404971315,1.96488168274815,1.9645005461668728,1.885627309716287,1.8770987939069288,1.8185639127338185,1.8148066642588006,1.7413312905796454,1.7357858376295652,1.6916033993907862,1.7016599900632803,1.7151682537931225,1.7211424749661202,1.668599723199992,1.6656362547503079,1.6102687215827545,1.603734758501368,1.5295159278889037,1.5344064836664053,1.5199822957382094,1.5240729931651344,1.4929505530994647,1.4767131150959933,1.4656880648378376,1.4409195198629687,1.4098395080492094,1.4096618927615228,1.4213261799899632,1.4082927190516823,1.4005519805666253,1.417518670087673,1.3902462562277087,1.3753754384843777,1.3733044791533147,1.3753061853491395,1.4073586113024825,1.4073729370932073,1.3975480721539872,1.4051029165574906,1.4063041895048092,1.4002150281039172
11,2.844,3.559342226095618,3.572625337494512,3.3676091660895873,3.3612685460359715,3.232887258553493,3.2355590556715947,3.0305012974578456,3.0293486671997627,2.9544934833215635,2.9566091171497275,2.8424061997432983,2.8434527464644517,2.791454544892663,2.7965166721053305,2.6586594339484835,2.6700560955199086,2.441839117831837,2.456205120569785,2.461242918575415,2.4629589293582015,2.3853385695395177,2.392079256457786,2.2143999187010888,2.204253088849254,2.2648778390445674,2.2428971070555743,2.1139327587452623,2.1135827456842016,2.097886530395094,2.1001174461692083,2.023491482763154,2.0335831031420173,2.000329567580966,2.0091958634868954,1.831601724728919,1.8321881378528484,1.784356413320168,1.7756648515003857,1.7712781802579127,1.778022460484891,1.6859328909151008,1.6950838884434007,1.7303053358131555,1.7209553672316142,1.65596254135181,1.6563373782453903,1.6294170378860116,1.6166150910587802,1.619445865517918,1.6079927953281645,1.5073782225152426,1.5000532020589132,1.4621432387717803,1.4691638486278304,1.4447556363345513,1.4404066154639077,1.4107877022666515,1.424231863589103,1.4231678686768976,1.426418057712935,1.4024319536044714,1.4097438524152983,1.3873453253337207,1.3904086498749542,1.4040735993494393,1.4078828936524423,1.4110048975721987,1.398263192740651,1.4033928238199886,1.405500169273645,1.4143454769772488,1.4026161379793738
12,2.848,3.650068186895817,3.663607772830655,3.3509268029692585,3.3519414853199465,3.204961316444496,3.208405351361045,3.053406641403626,3.05504836230809,2.949825121611707,2.958022351919278,2.9161776034158224,2.9188161867140137,2.7729616244476865,2.77171598850785,2.618721534100551,2.6236088633122616,2.6224103902007228,2.592220211268987,2.4930636239797983,2.4938414592279545,2.3595423386726138,2.3672166108839314,2.2459182728355267,2.252016308357172,2.301295125988688,2.302883543526304,2.200919730157008,2.208693533230679,2.075029423958459,2.091837721992497,1.9652700270620156,1.9532941675480309,1.9716413793357697,1.9642697352457952,1.9081989020225418,1.8892765295706424,1.7549350234743915,1.7669573540839312,1.7371727274073576,1.7333011838450758,1.708272465953733,1.7053341813262577,1.6552041578997359,1.679481349277083,1.6589745318644356,1.6476395444423335,1.6223581901791804,1.626767535077815,1.585191351807892,1.5870569757386999,1.5080756410669365,1.5240035594506292,1.485825531903966,1.4773305363852856,1.449410554122374,1.4486488397583424,1.433986472878166,1.4227925293899535,1.4231102664886401,1.4240326504302283,1.3919292183288479,1.4033434612527798,1.4076453710064114,1.39022983754778,1.3825547358784138,1.3922843280295503,1.4058800486162293,1.409314082010636,1.4353325436333766,1.4444593169225035,1.4201892034426702,1.4130208029389661
13,2.852,3.634697394355321,3.6469002288330734,3.3084043740520794,3.303899112835196,3.159535935965442,3.155740397916702,3.0796473358744976,3.077573645739945,2.87286186903126,2.87147731109926,2.8784638314458695,2.8767912118887033,2.7342206618026683,2.7479282253079536,2.6574053377634916,2.653909106586125,2.5597527853143167,2.569807385329772,2.4447911894890835,2.455251286022541,2.357828107068706,2.34908492626618,2.2289382145919543,2.236654116782855,2.234202744637553,2.2308550730455514,2.1532222258653886,2.157313637392226,2.1093942525393388,2.1002657355363596,2.1066354781592507,2.1005507397626526,1.96056726471035,1.9388532607619184,1.846153771567131,1.8529921347268974,1.7274651546349276,1.7392022337411335,1.751766967686525,1.7496168470429987,1.7259591821685174,1.7339711021997537,1.6774002164670914,1.681053353139368,1.6473768542105884,1.6543716792193777,1.6098069082683355,1.6331465333173765,1.5373550369133475,1.5529939069247893,1.509003528080166,1.5136419718727507,1.4731245223395182,1.4782601694547106,1.464163726313371,1.4636287207654561,1.441365253720326,1.4332344561535946,1.424626064576512,1.3997512110022803,1.3858391680925553,1.4070029760134188,1.3840713920217942,1.396098618742867,1.3933415375518912,1.3880711338582319,1.404083131998987,1.4175465767220328,1.4095939291200956,1.4149473369953365,1.4099013519730745,1.4119698431014287
14,2.856,3.630599547258635,3.6301235324820125,3.3046976716316867,3.319960085631983,3.226263898295608,3.224031194363455,3.069591057964555,3.0637498999957455,2.9092708034545467,2.9122962398019334,2.84237738282763,2.834403851845672,2.717956444224977,2.705592108823807,2.4634761610604197,2.466129035533707,2.551316947990389,2.557206781778369,2.4409442276223725,2.4297231080010295,2.427943352882674,2.4262335980503384,2.211273962962522,2.226043056315336,2.2821197864646137,2.283714027017344,2.149174425934216,2.142111367583202,2.1000252796198113,2.0961323541470054,2.0474489231385338,2.053394314704765,2.0006086837878327,1.9907417463290396,1.8378808310168904,1.8485828828055375,1.799515908694076,1.797472501366106,1.7316455014341205,1.7367561218903804,1.7325151649497559,1.7406237807261131,1.6678661710806482,1.6754023018749555,1.6577853015495434,1.6626744707086902,1.602283569355235,1.6053502765137928,1.5918646502310874,1.5793769804515791,1.5330418393249403,1.5326330399961199,1.48302642716817,1.4604767319855925,1.4566870943569188,1.452347227358593,1.445207411774031,1.4357952668458462,1.4085766795343513,1.4098847946810427,1.3846035563115786,1.395253315449822,1.3794814192189766,1.3879260990946776,1.3902825207081606,1.3864232475342098,1.4090626009197589,1.4112520153871546,1.4197759032593829,1.4223605762937213,1.4005653615959968,1.415273024829324
15,2.86,3.729592064682693,3.7222779448132552,3.3579503600156393,3.351048813706819,3.208909132712676,3.1871561831486397,3.0691476608242825,3.0853522723935227,2.95094637227339,2.9478565226243068,2.730620592831639,2.729260025448634,2.7549635043080003,2.769761285393792,2.6662786427157177,2.6408683507504582,2.490729146143524,2.4939013994094124,2.4984704090029664,2.497344265228784,2.412220348997977,2.4110661126642436,2.2998520776700193,2.2885691801434263,2.1827828519890993,2.1832400257560387,2.1341931917872192,2.130105343316157,2.012853025714999,2.026399169325203,2.060482736641553,2.060014593314416,1.9326989171543818,1.9401475969122635,1.8640863147941706,1.8636161145576937,1.8000949530874517,1.8057729324614473,1.7180948217726015,1.7135677731627748,1.6929596827044668,1.6929099157645195,1.6699871642273647,1.6625337781013698,1.6456105903601874,1.6503835391860706,1.620125321222709,1.6448394185237942,1.539512405333221,1.5660948770488372,1.5255028416851093,1.5292909062228186,1.445318129357358,1.4551572860665707,1.4618885596449036,1.4496703606833417,1.4359317818683703,1.4201049943536177,1.418618346423496,1.4172960175225608,1.4186987251638166,1.4100982604186536,1.3785194141120793,1.3975316128042434,1.3771843800778387,1.385895552615861,1.389857887570696,1.3948576703291415,1.4088043884153492,1.4182780334363636,1.3946047036667326,1.4037374011313228
16,2.864,3.6423413454350846,3.6384910422149237,3.368161367897997,3.3858989351284383,3.145226289678166,3.146441753943831,2.950549120171884,2.940975514055113,2.955571705085371,2.9609676541142558,2.890972494354774,2.890895776615226,2.713141113532425,2.715968614000208,2.704835295688981,2.6937533603496786,2.57124437485807,2.5772383115176782,2.4268371148032895,2.4328543160412064,2.4021904902386706,2.401071171404249,2.2701957283330487,2.263812070405882,2.208868645982932,2.2090207973771467,2.1897558948711975,2.18490993026442,2.1461154515118164,2.15116161802503,2.0262591071898193,2.0139979915520656,1.9667728099420878,1.9817289126914732,1.8763108356733857,1.8743667724463124,1.8057225728877093,1.798439715499568,1.7350737231712576,1.7384655212364057,1.7167827333545385,1.7079777281707211,1.6860407175339966,1.6844451746832936,1.6553532748364939,1.6638125635613632,1.6163788603244469,1.615018915694428,1.5633754661764967,1.5668688038982819,1.5204634678788602,1.518939877130286,1.4849050520589882,1.4857454287669658,1.4545085211467257,1.4235811038610087,1.4288828076819928,1.4352883989596794,1.4240903670772944,1.4167760416752486,1.3844488831769737,1.3948877124607595,1.3882503461827438,1.39551329425769,1.3943478260411022,1.3920958416454257,1.3882349629955657,1.3875877520201705,1.40111265207556,1.4023621129552257,1.4128851839858467,1.4042078732231402
17,2.868,3.5960417781402976,3.592955724873976,3.339795620178541,3.3475005766628807,3.1755326368838706,3.195580883531266,3.1391729905032943,3.132133637069701,2.851337029003772,2.844583258456136,2.9698000412849637,2.970415630831183,2.7203523522253596,2.73246582864671,2.618557741109789,2.6222065030607378,2.568265417901602,2.5668067984946075,2.4732743485077893,2.4903890485904916,2.4143387778543817,2.428314925893097,2.2231820008422436,2.207835590663287,2.2118768993985625,2.2176219229854732,2.094752158545433,2.093234372109499,2.1258228518934548,2.1293312879071724,1.9875996595032044,2.0008311341802067,1.961795663801888,1.9716253403384438,1.88746706029624,1.860903702793922,1.8039897078953149,1.803540841992321,1.7323100261125248,1.7371787487193509,1.703828805562423,1.7004742427097015,1.6663774810211358,1.6605020162097774,1.6508818134547258,1.6558277376993589,1.6144556258793088,1.6286267211573744,1.5641686324789978,1.5666459908161745,1.5028246779610341,1.5191820453923697,1.475990349572113,1.4738294520462523,1.4661807895875718,1.4629923688366886,1.4389369955667315,1.4328479293674137,1.4351283563619506,1.4135162371276346,1.4271800842771318,1.416365253693448,1.3726187274140829,1.379723116927943,1.3691019867827732,1.3669895653099218,1.3867929044973581,1.4078784032143452,1.4142802417718503,1.4056494849295242,1.4016519675393009,1.4099395259000904
18,2.872,3.597004529728865,3.6122425226187342,3.295852495544618,3.264292698147504,3.2578755025070594,3.2321723745928446,3.0378504268467306,3.0410084383316884,2.944640160249325,2.943530252836045,2.8719052513859635,2.875128997670529,2.7421372186950257,2.7263586572406187,2.628011712626425,2.6115130013872987,2.4746092745626336,2.4936277303850307,2.389162349647144,2.392876953402552,2.353680644473258,2.352961072127716,2.268945564928333,2.273453856590575,2.143748141665103,2.1418802394826946,2.09417276681763,2.0906519193512394,2.102402132442627,2.0847076235415405,2.044809947909522,2.034056830351673,1.9758733651312694,1.9726016466699716,1.8590798300104496,1.8476369320772073,1.7942959746182925,1.7857113683152823,1.7089811984945242,1.7059100061124208,1.6742163422509198,1.683471634353141,1.654238733976573,1.6832057795440822,1.6319957253908215,1.6232384597041205,1.6334193484323198,1.603903009565543,1.5528834681968164,1.5427920354886258,1.519692005255411,1.5109432279281583,1.4997878035364236,1.4896404120076292,1.4582741934808532,1.4784856925676078,1.4445558966703635,1.41339524447002,1.430588937483116,1.4226026117416288,1.4008130980426217,1.3611696641430764,1.390633223655852,1.3885791913598393,1.3712280954718041,1.3925275302762963,1.4012995843293874,1.397111117612504,1.433122942419527,1.4183717672097051,1.3958434050882527,1.3889343730003842
19,2.876,3.6603288488625263,3.66694514932775,3.4395022205915127,3.440083391729231,3.146837638804025,3.1352625608866256,3.03272948394817,3.053794346150366,3.0076900617388795,3.007277766859954,2.8337763593873833,2.831754057491762,2.70053828458527,2.702758632754655,2.6399685966289397,2.651124401901172,2.5192981120369486,2.551283826643491,2.4048492617092165,2.409430651375505,2.295989862243506,2.3041771793093107,2.3205102761761527,2.3306347758497563,2.23179925898551,2.244449403759424,2.196980209138094,2.185416130831559,2.0803573621405116,2.062781127996484,2.0067688620310213,1.993353096424928,1.9237928454385993,1.9281633441620356,1.8660271047771748,1.8663747947639815,1.8032315383720146,1.8082976424422694,1.7383647655042422,1.737832868408493,1.6747783116477075,1.6839710105158339,1.6721352589920746,1.677101204525503,1.641468093167353,1.6399507920645533,1.6054802066397575,1.6122464485942924,1.5238511789287847,1.5359525243010193,1.554580087436175,1.5325109032122872,1.4798651666162632,1.494890190234815,1.4415196787401128,1.4385101629188894,1.4249074061828637,1.4208000557923894,1.3899552346982207,1.3984142146106038,1.418460285168681,1.403044946892986,1.392611978234362,1.387697193346324,1.387557588899029,1.3874043942868035,1.398941264284453,1.40230479297561,1.4056672342606318,1.4142023998033826,1.4092559359044323,1.3977686490314065
