,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7
10,3.0892,1.2283660553574296,1.2126830432568558,1.2251849119704457,1.1937108129516114,1.2460249276297228,1.2369593640591166,1.178795211680842,1.2049708341263117,1.2320703623890075,1.210816529715803,1.184188942556972,1.1959240375745983,1.1979182919828955,1.213840550549524,1.1939428700576007,1.1378641961530802
11,3.0893200000000003,1.1781870841697821,1.1834021658234748,1.208954067107737,1.2380025689821437,1.1942277430559638,1.2203040441261424,1.1909029195343905,1.237887306996006,1.208622040918213,1.1947440108573482,1.2098663914979346,1.2005694141320864,1.1879282394066222,1.223806889579185,1.1864343216405997,1.201515783379362
12,3.08944,1.230720438858295,1.2129700858056276,1.18488887087053,1.2095930923405225,1.2192214746164132,1.2161655960171498,1.2245030906429522,1.1949311020880828,1.2135319754823244,1.2070859718970828,1.1989805618897378,1.2001330753669712,1.1913511060661834,1.1964328175297,1.1706744690586652,1.1764136418878288
13,3.08956,1.2379566445774286,1.1810384024981053,1.2289869783927025,1.1778991180225513,1.1869234429794893,1.2201125673104278,1.2073605279344284,1.260407665397682,1.2469069445344965,1.191361113477068,1.1717651571654055,1.2115701948123514,1.20461134154706,1.1802775632502043,1.1918858292236674,1.2283544991389308
14,3.08968,1.1825435743099484,1.2003388961242194,1.1735385940842677,1.1846999235634985,1.1983961646075272,1.1827134611820134,1.2428884263791924,1.199638327011308,1.2555549078564545,1.1959421300245947,1.16181818433593,1.1799636654217658,1.1803478464045,1.1828967992277895,1.1711276824089971,1.180008635384028
15,3.0898,1.187725211462589,1.1940646899322152,1.1819938447511726,1.2173006105433342,1.2637062568352557,1.2483105871569287,1.196930048124616,1.2146629500743538,1.173903729421619,1.2132524266114078,1.2131827678391773,1.1924714607318838,1.1523066140442437,1.233631110518332,1.168738303576882,1.170279377334426
16,3.08992,1.1878963762954564,1.1874703437253447,1.2499947049178717,1.2121558232093497,1.1353851949886233,1.1772888195002158,1.192363394422362,1.23574937147799,1.237735187398805,1.210023191923726,1.1972705142954874,1.1556673520922804,1.238885523840394,1.2100135069147695,1.1999828407062747,1.1995355619551884
17,3.09004,1.164137273565041,1.2232974689242624,1.2471874303518322,1.2246876868393703,1.2112731749083523,1.1916937364200912,1.2446978141054446,1.2229795100907777,1.19933349588438,1.1951659910770487,1.1707831548466616,1.2103861157278182,1.1891091620042675,1.1867616545712771,1.2008667418260555,1.1893955887256042
18,3.09016,1.2042971288482882,1.1648612712896265,1.195767244270971,1.1689781749354742,1.2367157323902425,1.1686330596794967,1.2169217367886895,1.1915457148582635,1.1863977734248456,1.1737100701202334,1.1826191435936289,1.1520064547922761,1.241967665695277,1.1986119874892998,1.2044370564801061,1.2272928571582051
19,3.09028,1.1774296911464508,1.1817998810735026,1.2091786234395323,1.2320688051046138,1.2177469440978,1.226609796416211,1.167888430205571,1.2199742071858863,1.1937848449374107,1.245779409840157,1.204705348510419,1.2138062250109247,1.1707150762698502,1.2247011040772706,1.2110157894508724,1.173122541428983
20,3.0904000000000003,1.1960211713802864,1.1911034359840986,1.2341854859907873,1.1977315200985073,1.2035572045771081,1.188868356818198,1.22600791117191,1.1952293963490137,1.2550151682729889,1.2858202718230634,1.2027819967356586,1.2526277026510182,1.2146092172651417,1.1853511438730975,1.2451550641785738,1.2031689632612654
21,3.09052,1.2053871804721144,1.204011034715304,1.2011862661193664,1.2008989161081645,1.220287802412035,1.2134769878484304,1.251322112688608,1.163073478936244,1.186859103313943,1.208672641589401,1.2062198798659682,1.1825516668645268,1.1973454734709776,1.2284369624860927,1.24782491374982,1.2169807824471464
22,3.09064,1.20587974156728,1.2159094801453152,1.1814160278425478,1.2182891568602923,1.2194744862303655,1.18460091797277,1.2327109546397563,1.2165238337776543,1.2216673854818587,1.2320822257904833,1.2135453963821021,1.2346574423154448,1.2134264013932183,1.1947168449719308,1.1924102512945338,1.2112703324258938
23,3.09076,1.1969597421926248,1.1915884957612595,1.2257102593321063,1.2187860922161127,1.2370493012596053,1.1932023338074578,1.2103423883303266,1.1917537218018648,1.219910797060809,1.2292599556103125,1.1986913356762952,1.181658070510387,1.1998444727250899,1.2300011343740835,1.1443967011668352,1.1741235943153638
24,3.0908800000000003,1.2396332595265145,1.181325444367957,1.1907792319394013,1.2089740585180304,1.2134264023100254,1.184697753312293,1.2113690495177616,1.2259801084578759,1.2099048098835956,1.2114115281313957,1.2293442865082853,1.1973051767371108,1.211341870655079,1.194368904702636,1.1847673872501665,1.1971974246232753
25,3.091,1.2276985885991296,1.1898606508945817,1.231877958474246,1.22446247755898,1.2034710032167333,1.1978361433872744,1.2030577724782165,1.2388677314276333,1.2473895198497718,1.154895241067063,1.1930636538393438,1.1898896732355606,1.2091945533482034,1.208827259292141,1.1865099139409763,1.2068139340535209
26,3.09112,1.1426079671299048,1.194270203683128,1.2145173904332878,1.1834171600147145,1.1792577806327413,1.174185143498531,1.197450412687931,1.1969147434124998,1.2571884282728607,1.200495693560464,1.2142856439550989,1.2140760525352992,1.1654847083551159,1.2135744434908389,1.161534275112624,1.2010294707927915
27,3.09124,1.2039042045212136,1.1735923105022688,1.2014376918945824,1.1736516566257085,1.171000242509668,1.2066259093777807,1.2409482016297373,1.2396916766375647,1.2242091690451056,1.1553668829324133,1.1852446404027985,1.2041634476310896,1.1901105233762974,1.2296197723107403,1.2108158941985758,1.2027179647056736
28,3.09136,1.1303037982936626,1.1524777837556444,1.1957856850366906,1.2135469564065915,1.1546360179063235,1.205329710656216,1.1864605526630376,1.195512378644556,1.1793555421812583,1.210516681245088,1.1901970374189341,1.2098760703803972,1.2526973405844124,1.2326581854548966,1.1475887839689842,1.1534859868567797
29,3.0914800000000002,1.2094403755957788,1.2421422671478817,1.202806672625119,1.1632930408761781,1.1851272037273057,1.1849616708662591,1.2059050340661492,1.181371359441851,1.2025252386880234,1.2055433541948029,1.1760166703328705,1.2210058474365182,1.1630622168946125,1.1652420127856093,1.224393145156871,1.184814538188592
