,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12
12,3.2524,1.0761008749195156,1.068537939681727,1.0577609111393764,1.0624496646557884,1.063038933518905,1.0686439420724778,1.0702636231848532,1.0668735430988785,1.069582308706575,1.0668330012757705,1.070752895244615,1.068113986423098,1.051199507589878,1.0515290535109783,1.0483742574856996,1.047835524113353,1.0490237918785716,1.0483178187191793,1.051438537904112,1.0488404957725468,1.0694194855814942,1.0655529521044607,1.0682741202916082,1.066503658123791,1.0717805598442371,1.0670040560732195
13,3.2526,1.0791204731107185,1.0810634075082788,1.0706771724909545,1.0742201255057746,1.0689584664499425,1.0722748790879262,1.0596872709860123,1.061667748117907,1.0636611375145562,1.0649431512155785,1.05868650191255,1.0625469719437235,1.0559207462776532,1.0576746701043913,1.0317313895419185,1.0350704013855856,1.0546109832774122,1.054574594873059,1.0564555779015514,1.0578501594194132,1.0580498030568808,1.0587818240164633,1.0557960623178826,1.0568569760827151,1.0639864049429573,1.0597177263620219
14,3.2528,1.0811997738646693,1.0842970850916034,1.0703875741752271,1.0645211553007907,1.0621769645156733,1.0675222190286995,1.0639831717777417,1.0687827152315446,1.0675191101792516,1.0657492265429709,1.0555169115528906,1.0549525525884444,1.0519453343524359,1.0522233297368822,1.0552524270255021,1.053154059825969,1.0543226518621747,1.0539617151765648,1.0447623407304099,1.0429829936221218,1.0522836581263066,1.0548636152137745,1.0590524167117867,1.0556735511553845,1.0553808648823848,1.0537890269519579
15,3.253,1.0860161656895606,1.0852118224261804,1.0671483887153919,1.0678026512439587,1.0614366026141244,1.0667400349870793,1.059611889224201,1.0641331381556793,1.0657772438016175,1.0682908134984017,1.0599309396208512,1.057577330285327,1.055093729364716,1.0528492526737387,1.0510676376862755,1.0520283695934805,1.0372876923859413,1.0399996437687302,1.05878286793845,1.0613583136096099,1.0510949391923836,1.0487698642294574,1.0649074360314639,1.0659721262729118,1.0733417231188382,1.0679298651497418
16,3.2532,1.0754865420879995,1.0745190809405862,1.06167349529407,1.0668003954349996,1.0647512848256466,1.0678617764876301,1.0544145729993064,1.051610481871633,1.0528626520859434,1.0525032768282114,1.061836613980196,1.0656078174316725,1.0395791277949387,1.0434960715488477,1.0521290987247978,1.0559934590580102,1.0487803734189758,1.0470655405099372,1.0492973535907535,1.0444029865382438,1.067625474597247,1.0690786788090485,1.0603482529240758,1.0591280182673692,1.068396324329113,1.0663975124391993
17,3.2534,1.0740579162129127,1.0682073170723352,1.067307254729906,1.060844603865394,1.0650824393057914,1.061585930070952,1.0626493235613703,1.063014774674394,1.0712687018036957,1.0686019013298662,1.061869171547394,1.0600787980402822,1.0540896322178779,1.0555376979029063,1.045937458036034,1.042009632202083,1.0354039762939053,1.0353890172292148,1.0485960309773852,1.0500948096803189,1.0518341122498363,1.0480807727333281,1.0617685513037542,1.0637027097418867,1.0664549047649705,1.0632606632989552
18,3.2536,1.0859726111771526,1.0858693705465376,1.069782207490556,1.0661549864541329,1.0690203398910212,1.0637742671075574,1.0645621952105138,1.0649574577748142,1.0627001093709956,1.0634487651355444,1.0600761279358626,1.0628252455259708,1.0446154355976507,1.0499688583922009,1.043187823940163,1.0416645155866646,1.0605322003943631,1.0646076851740858,1.0554226975453231,1.0603821701685818,1.0650815920466055,1.0614485642472886,1.0509009312874913,1.0489339327226654,1.0675361516918231,1.0696344718035007
19,3.2538,1.0777092772520604,1.078029094483848,1.0770633030964947,1.0748352381345478,1.062677094291452,1.0605626424002246,1.0628894010041186,1.0585249579540905,1.0659538538744127,1.0681496521513607,1.052755333476565,1.0541413861978268,1.0521555215718548,1.0530521751331432,1.0565241349122436,1.0564733964618798,1.0536787521515514,1.055953607783999,1.0616600608272024,1.0633609183983275,1.0617681619251182,1.0637020218314073,1.0582340815034506,1.0558618562808255,1.0709456707525775,1.0709099731240752
20,3.254,1.0828119740899065,1.0826394252033216,1.072546158349352,1.071485513854069,1.0635715637315601,1.0665668013232905,1.0615532763893425,1.0617127685607513,1.0706064112334517,1.0657761051375099,1.0594153642345518,1.0608100561272753,1.0563340276021989,1.0528228434874618,1.0550294649562217,1.0570570743060943,1.0518173264151467,1.0522543762677765,1.0442461761330433,1.0455440899599464,1.060045689403914,1.0630479253617355,1.067766998843677,1.0680400867415818,1.070278804012798,1.0724520974879148
21,3.2542,1.084793418583105,1.0872608735094038,1.0608741034760898,1.0665477480110404,1.066976694512408,1.0650222061854349,1.0602892824011854,1.0663332786383684,1.0698278051915877,1.0672202675820448,1.0598314281281636,1.0589825011300076,1.0555038696295742,1.0551942207337506,1.040605820560608,1.042473655408823,1.0494043409986034,1.0471769017464612,1.0680440655469148,1.0656907727340066,1.0620054266803662,1.0606831536584365,1.0655834868553618,1.0654134832891378,1.0651590546437277,1.0685119029755001
