,Duration,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3
32,4.373825503355705e-07,1.5843228101831974,1.5847970026103047,1.5558733839385555,1.5555873442774435,1.553510664715575,1.5533787952907598,1.5668838187657024,1.56690586999679
33,4.5073825503355706e-07,1.5775399401390677,1.577703105939561,1.5712135811613064,1.5703023019243505,1.5322664526740188,1.5333417722313725,1.5661057834219645,1.5660904788060346
34,4.6409395973154364e-07,1.5873817291115964,1.586421225290396,1.5489397800987021,1.5495481533711453,1.55827982686522,1.5594312319658141,1.5606903316382705,1.5606314870255527
35,4.774496644295302e-07,1.5835305312922616,1.5833023991358701,1.5519482855842355,1.5513700843295597,1.5290336232893222,1.5297662446808244,1.5509918426758604,1.5515626727365526
36,4.908053691275168e-07,1.5883544771532176,1.5886162794229912,1.5733928936004704,1.5736952998186566,1.5430620627035763,1.5424075883099642,1.5399918364327598,1.542111616344509
37,5.041610738255034e-07,1.5619175095304352,1.5623374800793597,1.5548082440053341,1.5557873632187489,1.547421498909609,1.5465253992485504,1.5477635129329574,1.54702383240647
38,5.1751677852349e-07,1.5900517879822569,1.5902145788162145,1.5625489978564149,1.5631126441798384,1.5576597107473453,1.5576041769227846,1.5517583833630255,1.551071425767382
39,5.308724832214766e-07,1.5763258793441899,1.5773519742899345,1.5799443217113853,1.5796515354031868,1.5499028410691684,1.5501106713344739,1.5609561313507736,1.5599386570462745
40,5.442281879194631e-07,1.577912995823289,1.577919679937637,1.5671365624553353,1.5661986094908427,1.5429751080023453,1.5434937150047405,1.5525818344415099,1.5530137363082948
41,5.575838926174496e-07,1.5772900054088212,1.576067199509862,1.5623354804131029,1.5609607531694336,1.5324542939181844,1.5336744135155271,1.5445379886393904,1.544554542613796
42,5.709395973154362e-07,1.5688632998437726,1.5680332910800308,1.5745614767380605,1.575045664094423,1.5305707042463579,1.5303153361795636,1.549751169656352,1.549332698352264
43,5.842953020134228e-07,1.5818279119148877,1.5821644256016214,1.5593315342578502,1.5586035978723343,1.5557700599364912,1.555186236615002,1.5632085923766288,1.56358814624418
44,5.976510067114094e-07,1.592481157838177,1.5923136194651717,1.5363159238231403,1.5364967054530847,1.5513537164112443,1.5512698222707328,1.5394372479012044,1.5397275354835576
45,6.11006711409396e-07,1.5785654095108455,1.579540905618344,1.5510420653910317,1.552455397869479,1.5613169445288266,1.5609974221337355,1.5293511468937542,1.5304076636585258
46,6.243624161073825e-07,1.537711205030411,1.5374343480862387,1.5640266699453866,1.5637045238786962,1.5469271911865086,1.5470738654514258,1.540433545729305,1.5421308563498441
47,6.377181208053691e-07,1.5785041918904992,1.5793126493359548,1.55540137772511,1.5550991588082788,1.5488435128903233,1.5492007032853679,1.5394778515782483,1.5399341783817013
48,6.510738255033557e-07,1.5746172621375183,1.5752151408056798,1.5595770936307305,1.5608810449553252,1.5694097648668206,1.570470154407187,1.5328086743532914,1.5341116262413128
49,6.644295302013423e-07,1.590389363972398,1.5910597676697449,1.5656604503665141,1.5654215737390815,1.5379257166498077,1.5393885859154903,1.533749563755181,1.5350512662397195
50,6.777852348993289e-07,1.5958806515589088,1.596254708338054,1.5688859089084781,1.5686321649685957,1.5590192567820134,1.5603472582666138,1.5513519066957824,1.5512592046359073
51,6.911409395973155e-07,1.5627392742231736,1.5633007342253091,1.5787545612545264,1.5790955726791045,1.542852295704383,1.542854232245717,1.5124165866572086,1.5131602025893134
52,7.04496644295302e-07,1.5539984788630274,1.5533846709338077,1.5578880914938615,1.5581562653155896,1.5427626551772524,1.5429005839232919,1.546815750037682,1.547511890283785
53,7.178523489932886e-07,1.5890008940333105,1.5891629977241937,1.5751736611326148,1.5757677917059212,1.5439589748144027,1.5438039299046398,1.5316437752250986,1.5324917744997315
54,7.312080536912752e-07,1.558626335064034,1.5600369188562322,1.554694054282323,1.5544372494782277,1.5277066215734147,1.5287929977683332,1.5602270086518364,1.5607767246091326
55,7.445637583892618e-07,1.5856510024627726,1.5871850849656755,1.5844547413052854,1.58474546614049,1.5372852989263706,1.5368658281179244,1.5466112938623302,1.5478226055632012
56,7.579194630872483e-07,1.5739957082207188,1.573365783485884,1.5632692490284448,1.5638448267517284,1.5320315741848702,1.531321628408812,1.5481382541103024,1.5483002953666058
57,7.712751677852349e-07,1.5718617472804672,1.5720823832719693,1.5755147354972896,1.5765197164018614,1.5356894977310729,1.5355128390861408,1.556054038966982,1.5569318980572244
58,7.846308724832214e-07,1.5811082844449758,1.5822521311486242,1.557255544814593,1.5589074415025703,1.5241893140176839,1.5246488267363285,1.5504072081699602,1.5520025714524388
59,7.97986577181208e-07,1.5603977961481619,1.560956570032307,1.5701684964477238,1.5714899388336658,1.5513971946329763,1.552471764627391,1.5751230001156675,1.5760535194593315
60,8.113422818791946e-07,1.589724584035017,1.5907825376088207,1.586023056160424,1.585775434060851,1.5265485348393344,1.5265138654078354,1.5226591698698666,1.5220583551531377
61,8.246979865771812e-07,1.5795309104983066,1.5807469073043516,1.5708705097343743,1.570561419339765,1.548702211643828,1.549629357685082,1.5442192789218039,1.5434244394792946
62,8.380536912751678e-07,1.570071174020698,1.5705314986580894,1.570978703712512,1.5721860174399107,1.5503563579488768,1.5510910409843333,1.5506380240827096,1.5508898938877504
63,8.514093959731544e-07,1.5708844410581355,1.5718440077418305,1.5596829764537932,1.5604613867901214,1.5360468129112845,1.5350308376400998,1.543671998187023,1.544499508261014
64,8.647651006711409e-07,1.5932217764528966,1.592458857922268,1.559110398990456,1.5585629943412562,1.5627851863872908,1.5639631402859817,1.5590171331967468,1.5589474816158957
65,8.781208053691275e-07,1.6095101118414838,1.6087741168642218,1.5655686239186988,1.5658228675660706,1.5468045698431465,1.5463390603611016,1.546443816403742,1.5467945103279486
66,8.914765100671141e-07,1.61689373556045,1.6190654262577562,1.5642509926305326,1.564041038553818,1.5738705221899183,1.5728075089327294,1.5490852016484615,1.5479044990796686
67,9.048322147651007e-07,1.5666706795567031,1.5667828091139133,1.5576282244111317,1.556695144005074,1.5679637601307963,1.5679691323586231,1.5396145308700433,1.539723724465165
68,9.181879194630873e-07,1.6048671344814083,1.6056015675485644,1.546471801439929,1.5461252929471292,1.569787630639805,1.5690967375407472,1.5384152131678503,1.538785147033956
