,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4
38,3.152,3.7259848159444395,3.7245130720408643,3.7502879643148708,3.738172933752946,3.7436619924825236,3.74524368067427,3.7596241115603717,3.7580692846845185,3.7587367523915063,3.7545164174286447
39,3.156,3.727459058759707,3.7247495132139132,3.7427793202320028,3.7468259895865477,3.7466132892702952,3.744580895609043,3.758330088361196,3.7602197438591984,3.75920838487883,3.7536334334590915
40,3.16,3.7263340111781744,3.72654796530919,3.742393891091309,3.741871972006478,3.7485882121887775,3.7441498663193675,3.7627556305321597,3.7575601702628862,3.7568470962806955,3.7582504388507827
41,3.164,3.7258901774540356,3.7268827928441253,3.7439671458767987,3.7460217160527822,3.7421177845075637,3.746137907811519,3.7544708203601407,3.7601744540999267,3.7580767780007016,3.759662839036166
42,3.168,3.7278507327566697,3.7258067810206654,3.748817468685588,3.7440692809076443,3.7442391957091923,3.746065446100269,3.7609399990299863,3.760172892601664,3.7546297974674516,3.762455780327404
43,3.172,3.7211479235912557,3.7283720297243628,3.74337557537374,3.743320604663873,3.7500115438183865,3.752085480298681,3.755341935299464,3.7565013392188296,3.754801583819277,3.756018458989426
44,3.176,3.7247170299617127,3.7257899177272447,3.7413812858861193,3.7421668202756235,3.750425082783947,3.7469446823344397,3.756595980647495,3.75584448882353,3.7588582508294612,3.7580886455002602
45,3.18,3.7271339136495123,3.725468206481194,3.746819431861668,3.7472317201612366,3.749879425064864,3.7471252147947953,3.7578978091534356,3.7540301092303254,3.753242696692187,3.7553356836849634
46,3.184,3.7260778934441854,3.7296679248811015,3.746933748022805,3.749526167973141,3.747786437132833,3.7445540330925335,3.7579683985590306,3.75688988984583,3.7582004626871885,3.756896757418741
47,3.188,3.7247869932863904,3.723433000817883,3.7490136172003994,3.741638967943446,3.741920384707457,3.747862336611767,3.759378612097049,3.7555462045494576,3.7627624969202498,3.7586108766035458
48,3.192,3.725560971830817,3.729419617012642,3.7483648911166245,3.7484726465750073,3.7466976214820034,3.7511959365909138,3.7613491631744553,3.758532795880685,3.758740498084888,3.7570120100434155
49,3.1959999999999997,3.7261631627012592,3.730273866426211,3.745425149420646,3.7477345887332034,3.7488518277922576,3.7445281106689197,3.758449713390442,3.7619472952123725,3.759763410550008,3.7569404831933517
50,3.2,3.730325089722726,3.7337086644034545,3.749135431049716,3.7471867433039194,3.7514376890577856,3.745619736336007,3.758607446428544,3.759806205438264,3.7558644737440416,3.7553503633798497
51,3.2039999999999997,3.726170659400157,3.7267231884111562,3.7465998574450694,3.7420715574619434,3.7471039748180566,3.746229111996694,3.76059392625717,3.7620678560596312,3.760073876243776,3.763632673417795
52,3.208,3.7293471538664,3.7285069595994744,3.74323314949202,3.7503832286160486,3.7444871939425446,3.751483602778581,3.757927794033015,3.7541690976471287,3.7605017818751887,3.758571209013955
53,3.2119999999999997,3.7235445086346863,3.727675512593983,3.7481337583035956,3.7466938729900687,3.7483167884244883,3.75037104728564,3.761524698330347,3.761078365482178,3.7582366928655166,3.7612998096551884
54,3.216,3.7265014278036768,3.7276655181649105,3.74948618959346,3.7433140451638027,3.749120441651723,3.7460904349996627,3.76368889879777,3.7615990333910068,3.7605080268464133,3.755335058093102
55,3.2199999999999998,3.7276964384573974,3.728357039263932,3.745643163855041,3.750965742843586,3.7447595537879024,3.748844643452847,3.7616290200911924,3.7565066479996876,3.761731462817881,3.7575710972452736
56,3.2239999999999998,3.733542501064399,3.731015361758416,3.750848614472191,3.7512721483889937,3.746620785892644,3.7481634316557373,3.7600638853740818,3.762503570341628,3.7544586333359504,3.7547375511929166
57,3.2279999999999998,3.732378410599993,3.7307411264845847,3.745307397074154,3.749468697988743,3.744038362785057,3.7496101887843816,3.7623655165369656,3.759293342799084,3.758827639662727,3.761796740387599
58,3.2319999999999998,3.7296960387064417,3.7317178115532466,3.7464668023621632,3.7500277849331085,3.7488280898770707,3.748859636094243,3.7588691851604317,3.7577416381511446,3.7583013480810967,3.7577453832994334
59,3.2359999999999998,3.73107002072145,3.7307707991502403,3.7473091816825272,3.748514812888452,3.750456316737811,3.746730729756071,3.763053288788615,3.7623055462096104,3.761605901115239,3.754303086954181
60,3.2399999999999998,3.732483982142839,3.728784006876481,3.7485972686765088,3.749608625958157,3.743899682606378,3.746154461984951,3.759908339645541,3.7567371549467006,3.7587142602092194,3.7557120517162015
61,3.2439999999999998,3.7312614854232735,3.731402349796029,3.7486647351428384,3.7498922293103023,3.747860462132652,3.7478289156807203,3.7594810587248686,3.7586480478827706,3.7525967749983296,3.7568092994451754
62,3.2479999999999998,3.7313223908538795,3.730103954713026,3.7552079385741717,3.7537992871580337,3.743925918402723,3.7498022769916863,3.7638603730674314,3.7610752393782554,3.761796428033658,3.7589372716244522
63,3.252,3.7337033552625862,3.7367883355403744,3.748053173201216,3.7532386370901594,3.7471333338016346,3.7467485306576522,3.760779141979393,3.7590341001007435,3.7584187881915803,3.753065284144445
64,3.256,3.7281858752882218,3.728955169437686,3.7534981916317163,3.7519239990491733,3.7460704425833873,3.749968754200908,3.760858164652794,3.753748688556826,3.759294899353876,3.7584647013345385
65,3.26,3.732066695648881,3.7325333307812114,3.751739093601253,3.7547110067507674,3.750321697700942,3.74546419081102,3.764480992086018,3.763168227135401,3.7612314058348404,3.7569339240301987
66,3.264,3.7318374388420397,3.7327276078301375,3.7555187160954984,3.7530624773378896,3.749594571005752,3.7491101309395405,3.7563308008023792,3.760346864512123,3.7609378061997147,3.760932497079303
67,3.268,3.730723011372474,3.7290038948359006,3.749680465538765,3.7521969837732523,3.747287628382353,3.7472448384097494,3.75931208264544,3.7612217287933634,3.758768607724951,3.7594829274551373
68,3.272,3.730968508814274,3.732815374972957,3.7506924442841867,3.755450626627986,3.7500471525334547,3.7487184579025605,3.7614584796919264,3.7616140263147395,3.761283880226685,3.762941779018587
69,3.276,3.734255884766797,3.730956329069427,3.7534782011607324,3.7559085179512097,3.749547093895506,3.7492500609537527,3.7680369802489078,3.762458905644393,3.756620647905351,3.7605448825670194
70,3.28,3.734550732883259,3.7280993570663306,3.754003556482345,3.753254879176999,3.750203008828952,3.7463059473384397,3.760562379152737,3.7594788733676623,3.7603228090313383,3.761862956384711
71,3.284,3.7316031834419117,3.7333694653826774,3.753511933856901,3.757240333178346,3.74843860214891,3.7462747124637295,3.7624495346339426,3.7657531521702174,3.7612691984754165,3.7643804159817393
72,3.288,3.729176617876261,3.7350342359059354,3.7539592047810713,3.7541862766939524,3.745276162412831,3.746736039494484,3.759447326261834,3.76469744395869,3.7587123862449574,3.7614803399661874
73,3.292,3.7280325168319894,3.7291744311738313,3.7552713432398432,3.7541762813441317,3.7470764879900966,3.746026401995376,3.7584431547282637,3.7634571429176726,3.765497028631451,3.762591020131895
74,3.296,3.726877798010205,3.7302841724762446,3.748620072156402,3.75122779339738,3.7495180482337847,3.7510581951800677,3.7598349408241503,3.7643032722144945,3.7639412647254074,3.759446697720349
75,3.3,3.7317018832683297,3.73174029977741,3.7517706432681805,3.7499593829955877,3.7499331461653203,3.7474678490755697,3.766112031121301,3.766371271642266,3.7635695810235927,3.7621312569022796
76,3.304,3.7334790961714655,3.733982274969339,3.755965987638304,3.752539310575415,3.753007506300027,3.752574915460097,3.763086394675406,3.7610842974009198,3.761069613843951,3.762712208366746
77,3.308,3.7313717413386414,3.733193307166102,3.7557148662126694,3.7505487686513024,3.755925382416175,3.752123583473781,3.7648873457851666,3.766272259970962,3.7696920630062998,3.7646415297357945
78,3.312,3.732915323382795,3.734279310539613,3.752123897575395,3.747243591425831,3.7552157473215093,3.751931183223543,3.7608072529070116,3.764239552744612,3.7568486548829543,3.7633518780593924
79,3.316,3.7334619170580026,3.7326770093776513,3.752687671598609,3.7540254213839344,3.7511037947190675,3.751166888168674,3.7633721870027657,3.76350399426093,3.7646693281725083,3.761584348925724
