,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3
115,3.52,734.5335,766.6364,737.1733,771.0422,737.1371,769.5896,738.6069,773.5242
116,3.528,739.5289,771.3343,740.1814,771.8052,739.4127,770.7922,735.5309,764.193
117,3.536,739.097,771.1717,737.7812,768.8627,737.7413,769.6941,740.6689,765.4909
118,3.544,737.8221,767.4979,740.2647,772.0344,739.886,769.4499,736.8481,769.3428
119,3.552,739.5277,769.899,739.7588,771.5774,738.387,767.8059,738.6449,768.6776
120,3.56,725.4406,762.7945,738.8508,772.2735,739.1077,770.1876,739.0822,773.1092
121,3.568,735.7727,769.4883,737.1893,768.488,737.4894,766.3767,742.2647,771.8488
122,3.5759999999999996,735.6344,770.5329,737.1594,766.5614,740.6171,770.9194,738.4484,770.2493
123,3.5839999999999996,740.239,764.4692,737.3124,766.3129,741.9034,773.8227,731.3663,759.712
124,3.5919999999999996,739.3464,769.9644,739.3671,769.7964,738.5186,769.1263,737.6197,767.5013
125,3.5999999999999996,733.1211,761.6936,736.8652,765.2028,740.1196,767.1521,735.9585,762.7842
126,3.6079999999999997,736.0964,773.6234,734.9471,763.7624,736.5509,769.1269,738.1555,769.3874
127,3.6159999999999997,733.7906,774.0253,737.3731,767.6924,736.4862,766.247,740.8551,770.7699
128,3.6239999999999997,734.8004,763.3898,735.2005,759.9433,740.27,770.839,740.2638,770.8079
129,3.6319999999999997,736.6382,772.1158,741.6427,776.5983,736.9407,768.1006,737.4597,770.7285
130,3.6399999999999997,736.573,766.2866,737.8915,769.7308,741.2128,770.9783,739.5552,769.3567
131,3.6479999999999997,741.1535,771.6024,740.6878,770.1509,738.5909,767.8908,739.871,772.171
132,3.6559999999999997,742.2445,771.9662,740.5141,772.0511,736.8463,766.836,737.1578,765.7819
133,3.6639999999999997,737.9167,767.0819,738.5966,770.7227,742.2166,771.656,737.1172,767.5286
134,3.6719999999999997,739.5577,767.4476,741.4301,772.1107,738.9368,773.9829,741.0281,773.4774
135,3.6799999999999997,736.9512,766.3593,739.8978,770.4532,738.7418,768.3569,738.3062,769.0488
136,3.6879999999999997,730.6688,767.945,738.3762,771.4823,738.3999,767.8039,743.7997,772.2664
137,3.6959999999999997,737.2936,770.8819,731.1719,756.5743,734.0101,763.7977,736.8009,767.5251
138,3.7039999999999997,739.342,767.6474,737.8655,771.3154,738.8054,770.4056,741.09,773.8751
139,3.7119999999999997,734.3433,767.1908,732.0099,764.2621,742.1546,772.0319,739.1308,770.4339
140,3.7199999999999998,732.1421,768.1751,737.3666,768.9231,730.0681,759.2486,741.455,772.6254
141,3.7279999999999998,743.6388,774.5561,735.0607,761.9789,742.7695,776.699,738.631,772.6263
142,3.7359999999999998,736.5277,767.586,738.8259,764.8513,737.6638,767.2437,741.3666,771.9924
143,3.7439999999999998,737.1775,766.6345,737.7857,770.2456,735.7441,759.4115,736.2075,767.5768
144,3.752,739.7331,768.1561,735.5606,766.1726,740.2103,769.7079,741.858,772.6764
145,3.76,731.7425,760.556,736.237,766.5575,735.1702,764.3325,741.8192,774.3721
146,3.768,728.9112,773.4979,738.7548,767.6675,735.4083,766.6072,741.6152,771.9648
147,3.776,734.9577,765.781,739.2476,770.3972,738.9936,771.1279,736.7413,765.5197
148,3.784,741.5538,770.8417,738.9491,770.2501,738.887,768.6499,740.3538,771.776
149,3.792,732.4598,773.2892,737.8498,767.0434,738.8553,771.3928,741.5952,773.7894
150,3.8,734.4588,766.5162,738.3539,767.7713,738.5003,769.9962,740.8775,771.0207
