,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3
108,3.464,740.5296,769.9363,739.2145,768.8425,734.5914,764.9244,737.8071,769.0088
109,3.472,741.703,773.6324,739.0106,772.9739,737.5944,769.793,739.5836,768.8278
110,3.48,740.2819,772.2445,736.9734,767.419,733.8492,763.9674,739.7186,771.137
111,3.488,740.2065,772.0505,742.153,774.0932,741.386,772.7134,739.8625,770.4778
112,3.496,738.8481,768.5963,739.24,769.9451,738.0882,768.7792,735.1069,763.0727
113,3.504,737.8371,769.0588,732.1842,764.789,739.6147,771.6601,738.6956,770.3114
114,3.512,737.1587,764.9844,737.9694,770.5281,736.2261,766.8668,736.6966,768.4106
115,3.52,737.2606,766.174,737.7934,769.3062,739.9669,769.0039,738.643,766.4727
116,3.528,733.966,766.3631,739.8617,769.2125,730.927,764.0207,738.788,768.0168
117,3.536,742.15,769.0917,733.389,760.4581,741.6824,772.2886,737.5705,767.7424
118,3.544,739.9395,770.0705,732.4882,762.4013,741.4206,768.3743,737.6908,768.9426
119,3.552,739.2607,771.06,742.3044,771.8597,737.5059,766.0751,741.5511,771.4444
120,3.56,741.4233,771.7987,741.5804,772.3795,737.1576,768.3419,738.512,768.3981
121,3.568,740.9028,769.9026,741.2519,769.1215,740.3558,771.018,736.4644,766.9587
122,3.5759999999999996,741.2076,771.1992,739.2253,771.675,739.6831,773.0722,739.0377,770.1226
123,3.5839999999999996,743.1353,775.8934,735.9663,764.4941,737.3172,768.4793,739.2787,770.7488
124,3.5919999999999996,740.0144,771.3646,734.1253,767.6821,743.242,773.8766,738.0689,768.9707
125,3.5999999999999996,742.052,775.3515,740.617,773.1953,742.8653,772.2768,737.1082,770.2015
126,3.6079999999999997,739.5107,768.6516,740.8932,774.3321,739.1317,771.8802,735.3949,766.8523
127,3.6159999999999997,743.3825,776.2586,742.3002,773.6579,736.5544,767.7429,741.797,771.4145
128,3.6239999999999997,739.183,771.3065,739.8808,771.9061,738.4666,771.5096,732.505,765.8973
129,3.6319999999999997,741.8978,774.805,738.6833,770.4564,737.5127,769.4859,738.6104,771.2715
130,3.6399999999999997,742.1869,772.391,738.5766,770.129,738.3496,773.4011,740.6921,769.0274
