,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3
113,3.504,748.5925,780.4312,746.3686,777.5498,743.4567,779.8713,746.3871,777.2589
114,3.512,747.156,776.1809,746.7582,777.9698,744.9839,774.856,747.5235,780.6239
115,3.52,745.4081,776.2911,743.5792,773.2771,746.6977,776.77,745.0477,775.9733
116,3.528,748.471,778.0425,747.0691,780.5512,740.1054,776.1555,746.3581,777.8862
117,3.536,746.8643,778.4554,746.1708,775.2971,747.8346,779.3509,745.4345,777.6941
118,3.544,737.8698,781.5777,748.4947,779.7305,745.1894,778.4013,743.7996,775.6137
119,3.552,744.382,771.4441,746.8445,777.0728,743.824,775.7027,745.7759,778.2237
120,3.56,748.1495,781.9319,747.0196,778.0876,743.2538,773.5721,746.2587,777.6613
121,3.568,747.861,780.1305,747.0327,779.1736,745.0007,777.9233,748.7872,779.182
122,3.5759999999999996,747.0488,777.5196,747.6273,780.0663,746.5207,779.5394,742.9311,775.3233
123,3.5839999999999996,748.3817,780.231,747.7895,777.794,743.3224,773.0548,745.5871,775.2131
124,3.5919999999999996,748.298,778.9962,744.419,774.0845,739.1037,764.3348,747.6756,778.6771
125,3.5999999999999996,737.6826,766.0928,744.0707,775.2516,744.037,773.8986,744.6925,775.5294
126,3.6079999999999997,743.0143,774.8764,746.6645,776.9924,743.5914,781.0613,744.8567,774.7178
127,3.6159999999999997,746.7066,779.8569,746.6768,779.4863,745.0545,772.7697,746.1711,777.3681
128,3.6239999999999997,745.2999,775.1791,745.7779,777.7694,741.6173,774.8906,737.7189,763.988
129,3.6319999999999997,745.6437,776.6447,748.059,776.892,750.0632,781.5664,739.8299,772.2171
130,3.6399999999999997,739.2319,777.8038,748.0935,778.1459,743.0824,772.0322,741.0141,773.0598
131,3.6479999999999997,746.6087,777.6117,747.0689,778.4404,743.9025,772.3703,746.6294,776.696
132,3.6559999999999997,743.0511,774.0601,745.385,774.9287,734.3627,766.3674,749.1741,779.937
133,3.6639999999999997,747.8467,779.4395,743.08,774.5984,747.9813,779.2132,747.2796,779.3362
134,3.6719999999999997,749.0648,778.9555,750.8173,781.2215,744.3315,777.6111,742.5602,773.3048
135,3.6799999999999997,743.7644,777.0205,744.9874,777.1299,746.2053,777.5485,746.3886,777.6423
136,3.6879999999999997,743.9948,779.6276,747.2322,779.0301,741.5748,771.443,744.3095,775.7959
137,3.6959999999999997,740.2421,775.5319,747.2484,778.1395,747.6724,778.7762,748.3026,779.2143
