,Duration,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8
16,138.0,0.7654498132431792,0.7672595957648579,0.6744650246067149,0.6746712616582832,0.6270849139652711,0.6276406420503442,0.5882562705410069,0.5889588913509677,0.6352231406742351,0.6352101161619726,0.6582122617992913,0.6594523701790579,0.6684451080403014,0.6699319793895292,0.6339819235620842,0.6345289998757185,0.6679956530928033,0.6692722113658386
17,146.0,0.7607821966211266,0.7624890636233708,0.6740386826997076,0.6740896407050957,0.6259400063575574,0.6257185584391638,0.5897124077200383,0.5905620149747709,0.6309651562933014,0.6314381927946122,0.6600648657525129,0.6613461403440196,0.6720442146856626,0.6731200486908385,0.6364046231272803,0.6373467450513545,0.6689540947169564,0.6701625007635297
18,154.0,0.7594055806487618,0.760749338619527,0.6738524196877032,0.6738574014812335,0.6260606314234062,0.6255943570599956,0.5863734323386754,0.5874523115912631,0.6346054446264461,0.6346361631082981,0.6585385148521099,0.6596904969626283,0.6690405968238136,0.6709414727249123,0.6380468983936937,0.6382604441545499,0.6719032407329394,0.6734665725139446
19,162.0,0.7570204707681023,0.7589678695869335,0.6743466952185256,0.6747134273595626,0.6247959420397536,0.6248903931693132,0.5888356114151749,0.5902532372621463,0.6348510363197636,0.6350795743208608,0.6552382692538299,0.6560950447130608,0.6695810828234936,0.6705326998484208,0.6340942404089294,0.6346523110354103,0.6712924473774887,0.672718850011655
20,170.0,0.7546433255065428,0.7563145703176997,0.6752235072004883,0.6753718835575508,0.6247691902765822,0.6243962738546962,0.5862947386913993,0.5870390098251496,0.6370612364913905,0.637591446540273,0.656551574114069,0.6577039310120993,0.6721141940968154,0.6733307365578338,0.6396838326859801,0.6402053128684047,0.671899992414339,0.673012932221222
21,178.0,0.7513973953287112,0.7526189508860851,0.6739911760380722,0.6738073336513837,0.6242456642770834,0.6246716782320009,0.5874970540375137,0.5883834235270614,0.6377063870517539,0.637732826504138,0.6553192898230552,0.6567934333632215,0.6735471870877509,0.674588210984351,0.6378962419777781,0.6382708918873956,0.6727633582360596,0.673767088927033
22,186.0,0.7491716717504043,0.7502060428943572,0.6702167538544013,0.6696897296471701,0.6234602737719283,0.6232409029061463,0.587920897226663,0.5884529188053628,0.6378761117573591,0.6383714960640806,0.6550454003047537,0.6559479958083425,0.6730750251039577,0.6737943092156831,0.6371974629008514,0.6376594113929369,0.6691815395192309,0.6704735585521292
23,194.0,0.74831331892765,0.7492241602298749,0.6723479793206619,0.6720037823943261,0.62317332848205,0.6227587617279129,0.5897265566288485,0.590385215815519,0.6391995988254885,0.6396183509211422,0.6582377798301057,0.6590677722807678,0.6701597834203917,0.6711548935618471,0.6410019319470593,0.6417997222921883,0.6683603081744725,0.6688413249197614
24,202.0,0.7464744108578659,0.7475116555075879,0.6746489606999719,0.6746249887206459,0.6207112274260301,0.6207382915434139,0.5890953832297917,0.5894144368898765,0.641544385649236,0.6416007314849601,0.6575350965037539,0.6584051151167435,0.6710574908339794,0.6714634995236326,0.6387631059645646,0.6389569119331833,0.6735598992390682,0.6738044601912447
25,210.0,0.7443311134325035,0.7450840051975723,0.6724580473631194,0.6720043133609952,0.6204470047529731,0.6203736833174538,0.5936660806727948,0.5943507420366001,0.6405458710425536,0.6406581723050413,0.6605364186401319,0.6609136297253324,0.6730505065422709,0.6737380883051154,0.6390634973938825,0.6389760738738739,0.6704265672483138,0.6718261868637252
