,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12
10,3.21,1.3902586897168694,1.4135370615928358,1.4023855466633508,1.4031541391760636,1.3760298790421148,1.371634781040405,1.345892447728567,1.3593257055277326,1.3608195792881064,1.3616134137392732,1.3368499161017715,1.3528142198595767,1.339116753366886,1.3419317771383064,1.36133177934746,1.3538287807704612,1.3449657438989484,1.3401121053893008,1.3191617896073498,1.314004124687048,1.3198641062864818,1.3101721677261728,1.3476958744115204,1.343392413224012,1.3416280904879052,1.32512784815675
11,3.2110000000000003,1.4178553963530207,1.4185343178967094,1.4049898991743908,1.3964221455291848,1.3740249294959173,1.3670954407258515,1.3565467338198007,1.3519034793271614,1.3534592885521302,1.358073736749979,1.3307873153648875,1.3287470706164681,1.3532899687662114,1.340252062360007,1.3587846402678048,1.3535209077993628,1.3413927740211156,1.3433204242895942,1.336298047708379,1.337962358790732,1.3371602516877426,1.3342539625525558,1.329607240893839,1.3423022365831785,1.328697787956992,1.3355220460803354
12,3.212,1.4076162057328292,1.4103856859191808,1.3760758263045059,1.3841556168834592,1.3692621788998425,1.3720559600346227,1.3675584143895732,1.364946040321701,1.3625147823121326,1.3745545855905663,1.3154078592565086,1.3276196318938238,1.3434801496165811,1.3330953523432756,1.345614747639687,1.3443216782865874,1.3199578743505045,1.3147250294052664,1.344826754744816,1.3394275892120207,1.3127579955809912,1.3353600033470665,1.3387101835796096,1.3317468452845647,1.331767983309171,1.3349842338152154
13,3.213,1.4178443635134859,1.3965641633190162,1.3942834219684446,1.3885285340081952,1.3520050833322776,1.36229211908666,1.3449282047031983,1.3484939551024,1.3450725927087888,1.3514783892240656,1.3374199252499743,1.3408810465797598,1.334257458865691,1.3431612860842967,1.3439928817354938,1.3377017483100082,1.3362869888771607,1.3285670425192442,1.3451278526541992,1.345785252716798,1.3307323107263542,1.3393589082922082,1.3194932125683554,1.3219874322430714,1.3285431456631682,1.3349081784883674
14,3.214,1.4186827750750297,1.414068758309461,1.3830022472458006,1.3784185319317837,1.370652794573271,1.3661646184256624,1.3571337055403234,1.348989138094748,1.3529723886360823,1.3510567980739399,1.358527845343892,1.354393609620108,1.3364095473145048,1.3208603377423738,1.3448429955911487,1.3338602641789836,1.3404915321608344,1.3481157790470422,1.3423759811205005,1.3395592368737312,1.333372111541634,1.3396555914419452,1.323418557291732,1.3325642518574354,1.3260682539312114,1.3284933318103573
15,3.2150000000000003,1.406372425042354,1.4063490874879814,1.3915844032586655,1.3889055552878777,1.366095154363192,1.3624739924810143,1.3838059179872568,1.381292989213863,1.3383932900001176,1.3409380200599499,1.331512556348294,1.3500614426982342,1.3370917852300879,1.3411356312080271,1.3516197217745678,1.3464252317668386,1.3288120024962213,1.330977118699167,1.3247153417829316,1.3200750289080208,1.3282046702393446,1.3424104914986061,1.3346406664592008,1.32905843539046,1.3484212101195452,1.3307480227402486
16,3.216,1.4060220452175152,1.398805208354528,1.3739242641876945,1.3897904948404138,1.3703560723220787,1.3755729898360687,1.3554645764994249,1.3545209476188265,1.3437714084671075,1.3436968784161083,1.3409920203636263,1.3432204094748441,1.334466257115155,1.339843591228072,1.3349711463552825,1.3330193603390241,1.3252763945169768,1.3363787832594605,1.337973634435207,1.3310580472618956,1.3240438217585346,1.3184664704789821,1.3263683831666495,1.3349318888740709,1.3295944404605196,1.3244188150733722
17,3.217,1.411353491650606,1.402050409007661,1.4023102382808221,1.399999762432528,1.377003117459149,1.3855287664926967,1.36226725862118,1.3589760168976948,1.3353465475900415,1.332950928193604,1.3608445636483546,1.359837467485898,1.3429558907357513,1.3331150304924195,1.3393360141688302,1.3457792271793967,1.3223257814914418,1.32665941857108,1.3365977911834208,1.334873161954582,1.3108424736567081,1.3239959137295192,1.3412056871220672,1.3415913928254777,1.3302679909662942,1.3329776604798547
18,3.218,1.404239199601404,1.3986610258183212,1.3919830039688845,1.4003128482099532,1.3850934316948627,1.3752318917720918,1.356766738424389,1.3633231421594663,1.347888867059482,1.3460580449798798,1.3580007409702513,1.3418242692620637,1.3372146286335038,1.3397296501449976,1.3385250297744633,1.3374142737309611,1.3276040458756608,1.3370067678962616,1.3393428858089456,1.3366488290241187,1.3241244045270875,1.324836279384617,1.3422877093061487,1.3298423734272984,1.326236203621116,1.3237270168063346
19,3.2190000000000003,1.4239433840805866,1.4221587308504244,1.3821608499742992,1.4011771499529624,1.3822928704113022,1.389957630207127,1.3585182574435293,1.3589968805750428,1.3418399798531386,1.3486001509479475,1.3408226360800546,1.3385497387066794,1.3306407682629489,1.3386753269701501,1.3351688538951296,1.3269710327254143,1.322742039745592,1.3357637294007316,1.3319480155206038,1.3373533018269155,1.3362682129690944,1.318614955950297,1.3119087570571697,1.3309516930788965,1.3321400742852307,1.3335517342379177
