,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12,Signal Run 13,Background Run 13,Signal Run 14,Background Run 14,Signal Run 15,Background Run 15,Signal Run 16,Background Run 16,Signal Run 17,Background Run 17,Signal Run 18,Background Run 18,Signal Run 19,Background Run 19,Signal Run 20,Background Run 20,Signal Run 21,Background Run 21,Signal Run 22,Background Run 22,Signal Run 23,Background Run 23,Signal Run 24,Background Run 24
31,2.8826666666666667,36.762,39.631,37.546,37.92,37.494,39.214,35.997,39.017,36.629,37.415,36.159,38.977,38.014,40.498,37.437,40.056,39.008,41.555,37.046,39.775,37.776,39.502,37.48,38.296,36.641,37.372,36.722,38.708,37.569,40.026,37.827,38.11,37.239,37.976,37.397,37.975,37.987,38.422,35.195,38.356,35.281,37.419,35.337,37.233,35.635,37.758,35.394,36.811,37.2,38.843
32,2.885333333333333,36.274,39.164,36.868,39.36,37.221,38.867,36.957,36.951,36.016,38.787,37.847,40.767,35.458,39.878,38.408,39.076,37.498,39.188,38.384,38.891,36.147,37.165,36.81,38.764,37.224,37.886,35.692,37.165,37.104,40.089,37.014,41.288,37.259,39.073,38.503,38.9,34.893,37.186,35.892,37.501,36.451,38.679,35.39,35.953,36.185,39.194,36.567,37.219,34.799,36.217
33,2.888,36.376,38.08,37.277,38.434,37.116,39.993,34.847,36.43,37.438,40.443,37.491,37.667,36.78,39.586,34.884,37.989,36.504,38.016,37.382,39.879,33.999,35.385,37.449,38.795,36.627,39.956,35.995,37.932,39.525,40.699,35.952,36.34,36.62,38.059,36.861,39.127,37.491,39.144,37.982,37.556,36.594,37.532,35.736,37.14,35.297,37.018,34.319,35.213,33.777,36.254
34,2.8906666666666667,35.695,37.477,36.071,38.818,36.455,38.961,37.603,37.909,37.77,40.127,37.179,37.709,36.35,38.716,37.953,39.357,36.598,36.998,36.212,37.628,36.119,35.732,36.987,38.601,35.632,39.417,31.892,35.577,34.622,37.347,29.69,32.958,37.249,39.05,35.389,35.711,37.073,37.698,37.094,38.537,36.12,37.42,37.763,39.296,32.384,34.334,37.044,37.832,35.109,37.225
35,2.893333333333333,36.052,37.799,37.288,41.227,36.446,39.473,37.194,37.477,37.765,40.643,39.211,38.861,36.626,38.864,37.469,39.787,34.987,36.21,37.481,40.121,37.647,38.452,36.05,38.605,37.24,39.321,36.352,37.085,36.162,37.786,36.557,34.986,36.53,38.199,34.507,36.216,35.94,37.378,37.315,39.72,33.855,36.15,36.298,37.757,36.337,38.321,37.388,36.415,34.791,36.769
36,2.896,33.607,35.746,36.786,39.967,37.4,39.29,35.452,37.962,37.646,40.661,36.682,37.596,37.163,38.193,35.301,37.369,39.407,40.605,36.754,40.099,37.675,39.625,35.659,37.761,36.089,36.839,40.632,40.497,39.537,41.256,35.383,37.088,35.239,37.11,34.616,39.786,35.905,36.582,36.489,39.734,36.708,37.522,36.458,35.743,36.368,40.139,35.227,35.042,34.97,38.03
37,2.8986666666666667,36.522,37.884,36.759,38.963,36.625,37.57,35.152,37.402,36.613,38.48,37.297,41.44,37.322,40.134,38.199,37.639,38.6,38.346,36.354,39.926,38.373,39.39,36.114,39.332,36.639,40.197,35.326,37.539,34.796,36.878,41.578,41.269,35.432,36.98,35.236,37.378,36.918,39.388,35.614,37.71,34.823,37.397,36.78,37.098,35.206,36.784,33.522,36.26,36.725,39.617
38,2.901333333333333,36.377,39.597,35.918,38.001,35.747,37.711,37.063,40.076,37.754,38.407,35.799,38.619,36.155,37.808,34.769,36.583,38.091,39.993,36.44,37.933,37.131,38.721,36.034,36.318,37.919,40.105,34.665,37.154,39.314,40.472,36.732,39.35,36.267,38.189,37.58,38.274,35.669,38.175,36.585,39.303,36.527,37.066,37.352,39.592,36.621,37.884,34.291,36.454,37.602,39.41
39,2.904,38.619,41.185,36.039,39.495,37.92,40.018,37.039,37.717,37.287,39.12,37.571,39.605,38.378,39.947,37.491,41.442,39.462,41.34,37.448,38.353,34.792,37.828,35.772,39.624,36.393,37.892,36.152,37.501,36.812,38.316,38.103,39.03,36.618,38.838,35.656,37.413,35.379,37.425,35.359,37.146,36.058,39.368,37.066,37.834,35.487,36.286,36.848,37.616,35.206,38.316
40,2.9066666666666667,37.23,37.55,37.087,39.406,33.839,34.909,32.897,34.928,37.076,37.679,39.647,39.604,37.515,38.122,37.781,38.985,37.803,40.711,35.729,36.727,36.251,36.885,36.301,37.952,35.861,37.944,37.234,39.03,39.761,42.614,37.729,40.158,37.734,38.152,34.446,36.879,36.524,40.968,34.14,33.874,35.482,36.806,36.079,39.659,35.547,38.254,35.88,36.594,35.493,38.296
41,2.909333333333333,37.38,40.69,36.39,37.788,36.661,39.675,36.258,38.947,36.831,40.929,38.669,38.161,37.343,39.53,37.478,39.916,37.1,37.855,35.25,37.01,35.916,38.764,37.789,39.894,35.57,37.993,35.2,36.918,36.632,38.758,38.219,38.66,35.317,36.465,35.246,37.207,37.49,38.809,36.033,38.331,35.936,38.17,36.048,36.928,36.919,35.927,34.57,37.218,37.436,38.61
42,2.912,37.362,39.744,36.47,40.048,34.427,35.909,35.798,38.135,39.055,40.975,38.948,38.066,38.054,38.795,37.444,39.322,34.415,34.873,36.173,38.05,39.181,39.457,36.7,35.843,37.07,39.793,36.343,36.342,36.238,38.51,37.556,39.051,34.241,38.949,35.49,36.328,37.554,38.331,36.486,38.392,36.076,38.384,36.008,39.455,35.033,36.619,36.089,38.294,37.327,38.694
43,2.9146666666666667,36.966,40.564,36.822,38.279,37.66,38.802,38.705,41.286,36.932,38.104,38.385,38.999,36.774,40.148,35.198,39.596,27.202,32.101,37.291,37.692,35.403,37.729,35.691,38.83,36.944,38.435,34.651,35.792,36.338,36.993,35.475,36.811,37.447,39.075,34.924,35.422,39.155,41.505,36.742,37.056,36.26,37.157,36.429,36.271,35.008,34.981,35.265,36.257,37.159,38.122
44,2.917333333333333,38.095,42.734,37.717,39.611,37.884,38.405,39.141,41.718,38.045,39.366,38.087,40.572,36.395,37.556,37.652,38.757,37.774,38.587,37.385,39.037,36.706,37.833,37.541,37.207,37.302,40.696,36.661,38.481,35.527,37.579,36.96,40.458,36.503,38.545,34.776,36.403,37.517,38.3,35.71,40.03,37.104,39.707,36.437,37.156,34.383,36.395,37.168,39.319,36.266,37.496
45,2.92,36.315,40.919,36.794,38.01,38.672,40.078,38.334,38.93,35.957,37.848,35.867,37.977,37.351,39.301,35.474,36.998,32.97,33.828,37.647,38.399,35.191,37.449,34.33,37.413,37.892,40.211,36.327,39.108,36.275,37.425,36.589,38.9,37.483,38.803,35.713,37.541,36.728,39.202,34.164,35.833,37.759,40.652,37.679,40.325,35.427,36.272,37.465,39.56,34.283,36.436
46,2.9226666666666667,36.661,40.347,34.647,38.225,38.243,40.846,36.465,38.901,37.334,37.77,34.024,35.723,37.493,38.998,34.369,36.612,36.963,39.237,36.154,39.073,34.626,35.727,36.843,36.715,36.818,40.614,36.061,38.843,35.204,37.4,37.245,38.158,35.976,38.3,36.667,38.458,35.199,35.878,36.355,38.47,36.188,37.157,36.612,36.763,35.523,37.666,37.205,38.071,36.179,38.323
47,2.925333333333333,36.653,39.777,39.023,40.585,38.482,39.768,39.181,39.303,36.781,39.003,31.502,34.524,37.204,41.34,34.821,35.947,32.013,37.933,38.514,37.912,35.273,36.857,35.58,39.04,35.886,38.112,36.644,37.149,35.389,37.573,34.717,35.372,36.662,37.886,36.142,37.248,34.553,37.862,35.337,38.807,35.251,36.745,36.555,36.947,34.626,33.827,35.51,37.596,35.534,37.492
48,2.928,35.677,38.124,33.313,34.1,39.331,41.498,38.418,38.222,36.01,37.841,35.187,41.551,35.929,36.106,33.818,34.749,35.851,37.15,35.766,37.317,36.947,39.933,35.699,37.853,36.399,37.774,35.188,37.914,37.075,43.49,36.087,38.602,36.962,40.285,35.89,36.137,37.32,37.269,36.441,37.551,35.991,36.834,36.377,38.212,34.932,36.091,35.379,39.594,37.621,37.726
49,2.9306666666666668,35.454,36.098,34.928,38.052,36.941,39.279,36.763,36.785,35.413,39.306,39.197,42.099,37.249,37.323,32.686,35.491,36.177,37.22,36.318,36.214,37.536,40.176,36.812,38.751,36.72,39.719,35.84,38.755,38.707,39.26,32.63,31.365,36.759,38.342,35.845,37.72,35.377,38.783,36.342,37.184,34.909,36.481,36.202,38.178,34.953,36.694,36.211,38.268,35.562,38.791
50,2.933333333333333,36.28,38.172,37.186,38.797,35.369,39.149,36.528,38.872,36.261,37.463,37.608,37.468,34.878,38.004,35.336,36.774,35.152,37.436,38.467,38.949,36.694,37.689,35.959,39.37,36.737,38.336,36.196,35.772,41.012,43.02,37.848,37.231,34.561,35.565,36.267,37.076,37.307,39.436,36.929,38.509,35.836,38.278,37.083,38.618,33.958,37.34,36.835,39.605,36.644,40.21
51,2.936,36.788,39.274,32.262,35.361,37.865,38.336,36.526,38.56,36.259,38.19,36.07,37.772,36.724,37.632,36.356,38.241,38.098,38.228,36.572,40.177,36.91,37.457,36.0,36.604,37.176,38.948,36.018,38.609,36.543,39.392,36.089,38.98,36.859,38.183,36.336,38.356,35.394,37.586,36.285,39.466,36.268,38.408,36.652,38.358,35.773,38.004,35.774,37.358,38.011,39.975
52,2.9386666666666668,35.715,36.759,33.14,36.184,36.636,39.207,36.523,39.242,37.079,37.439,34.887,36.833,35.64,36.444,38.023,40.097,37.448,40.184,35.146,35.88,36.437,36.248,35.657,37.972,37.461,39.806,35.958,36.059,36.631,38.958,33.281,35.004,35.104,36.628,35.763,38.303,36.693,37.232,36.035,37.913,37.835,39.351,38.397,36.998,34.758,36.196,36.36,36.88,37.732,37.617
53,2.941333333333333,36.335,36.817,37.537,38.631,36.887,39.625,36.149,37.023,37.36,39.194,35.528,36.36,36.217,38.008,37.224,41.509,36.099,39.08,37.056,37.269,35.599,38.306,37.328,38.392,35.052,38.02,36.451,36.982,35.886,34.972,36.193,37.611,35.638,37.933,35.012,36.596,34.307,36.342,37.257,38.046,38.24,39.478,35.095,37.059,33.886,36.973,33.821,35.892,38.723,41.558
54,2.944,37.267,40.577,36.17,38.145,36.337,37.594,37.083,37.753,37.745,37.462,35.453,37.808,33.684,36.992,36.836,38.623,37.778,41.069,35.585,37.574,35.36,36.313,36.122,38.754,35.801,37.2,36.851,40.085,36.99,37.198,37.61,39.608,37.29,38.528,37.436,39.489,36.444,39.115,37.779,36.991,36.574,38.153,36.538,37.971,34.01,37.466,37.263,40.876,35.408,36.57
55,2.9466666666666668,37.249,38.961,35.495,35.559,37.308,38.678,38.953,39.299,35.528,38.492,36.731,40.593,35.829,36.96,34.324,37.24,37.748,40.093,36.885,40.267,35.408,38.049,34.68,35.227,36.704,38.434,38.312,40.387,33.827,38.262,33.443,35.818,36.273,38.645,36.53,37.367,37.067,39.152,34.002,35.623,34.558,36.115,36.82,38.534,36.667,41.797,36.544,37.066,36.139,36.879
56,2.949333333333333,37.392,39.443,35.217,36.659,36.751,39.591,37.877,38.86,35.878,38.327,36.898,39.636,35.154,36.9,35.866,37.837,38.028,37.908,36.046,37.418,34.558,36.751,37.95,38.619,37.111,39.291,36.146,38.599,34.386,36.497,34.527,37.498,35.514,37.568,36.063,37.978,35.455,36.9,36.57,39.38,33.496,34.812,36.429,39.489,38.32,40.398,37.056,37.796,36.159,36.62
57,2.952,36.019,38.919,36.014,36.966,37.227,37.722,37.781,37.347,37.116,40.615,37.593,41.65,34.967,38.042,40.116,41.123,35.991,38.03,38.377,38.974,38.187,40.674,36.071,38.987,36.196,37.457,35.768,38.07,35.403,38.433,37.563,39.415,33.735,36.818,35.728,37.687,36.297,38.703,35.487,35.776,37.252,36.903,37.102,39.166,34.305,35.424,38.062,38.746,36.703,38.308
58,2.9546666666666668,37.827,38.631,36.805,38.08,35.453,36.502,36.242,38.67,36.548,38.253,38.869,40.957,36.677,37.903,36.413,39.073,36.669,40.314,36.875,37.953,36.584,39.436,35.662,36.542,36.011,37.66,37.517,39.568,36.323,39.093,38.165,39.522,34.747,37.022,32.539,30.685,36.553,37.826,35.844,36.631,35.974,36.209,35.322,36.377,34.786,36.18,36.423,38.283,37.317,37.799
59,2.957333333333333,37.422,38.289,39.473,42.723,33.424,35.822,37.362,35.901,33.702,33.057,33.662,33.687,36.461,38.806,35.804,37.073,36.175,39.011,37.368,39.352,36.448,38.142,37.171,38.271,35.964,38.569,38.389,38.992,37.857,41.966,38.184,39.565,36.195,38.751,40.814,43.488,36.82,39.582,36.302,37.214,34.698,37.138,37.126,40.225,36.959,36.224,32.74,33.895,36.561,37.693
60,2.96,37.899,37.202,38.459,42.472,35.581,37.256,37.923,42.075,34.819,37.156,30.419,28.014,36.327,37.711,35.519,38.245,36.989,37.868,35.511,38.201,33.555,37.024,37.622,41.615,34.03,35.747,36.263,40.629,37.52,40.94,37.608,41.386,34.947,38.09,36.799,40.63,36.153,36.742,36.7,37.97,37.929,38.17,36.222,37.809,37.057,38.116,29.085,32.523,36.539,38.4
61,2.962666666666667,37.203,37.617,41.126,41.858,35.836,37.105,36.687,37.909,36.658,38.65,39.361,44.236,36.014,37.75,34.55,35.979,34.279,34.345,36.526,37.814,36.271,38.506,36.809,38.674,35.739,37.087,36.146,38.422,35.903,39.975,37.949,41.118,33.732,35.787,37.874,38.779,37.67,41.077,35.827,37.518,37.915,39.225,38.39,38.097,36.094,37.069,34.157,37.182,35.52,34.155
62,2.965333333333333,37.934,38.615,37.069,39.51,33.919,37.724,37.628,37.513,37.817,38.514,37.527,39.331,35.056,36.525,34.614,36.433,34.361,38.647,37.06,37.949,35.664,37.588,35.247,37.629,35.627,38.45,36.629,37.718,37.061,38.796,37.329,38.117,35.957,36.745,33.874,37.151,35.224,35.965,34.023,35.306,35.668,36.629,36.351,39.391,36.06,37.881,36.281,38.392,36.19,38.968
63,2.968,36.571,36.894,36.033,38.499,36.336,37.619,34.795,37.585,36.812,39.89,38.831,40.745,37.936,38.595,36.662,38.119,36.554,38.758,37.928,39.491,37.673,38.867,35.64,36.541,36.448,38.933,35.767,38.526,35.578,37.148,35.964,38.433,35.458,37.336,37.603,39.86,35.867,38.822,36.153,37.109,36.362,36.703,37.24,41.367,35.798,37.881,34.227,34.693,33.764,35.049
64,2.970666666666667,36.616,38.403,38.694,41.61,35.897,36.549,38.388,39.394,37.801,37.856,38.078,38.881,34.64,36.377,36.374,37.941,37.177,38.65,38.013,37.223,35.345,35.7,37.27,39.896,36.959,41.014,36.817,39.171,36.374,36.352,33.856,36.538,35.318,35.889,37.265,39.221,35.043,36.972,36.5,37.245,36.536,39.847,31.602,34.528,36.383,39.03,38.031,37.85,35.911,39.006
65,2.973333333333333,35.261,37.161,38.765,39.757,36.821,37.134,38.661,38.501,36.726,39.819,34.965,36.611,36.354,39.656,38.295,36.928,37.311,37.506,38.162,39.276,35.942,39.124,35.736,39.224,36.922,37.284,36.704,39.003,37.568,36.958,36.133,36.855,35.23,37.91,36.651,38.112,36.802,37.524,36.639,39.384,35.75,36.894,33.027,35.525,36.005,36.407,37.137,39.58,36.129,40.019
66,2.976,35.128,37.29,35.163,37.42,38.049,39.45,36.568,38.08,36.783,40.207,38.736,39.41,35.784,39.107,37.416,37.818,36.94,39.89,36.854,40.454,36.545,39.592,36.422,37.411,36.979,38.519,34.98,38.859,36.381,38.934,35.189,37.837,37.745,42.38,37.462,36.8,35.923,37.64,36.585,37.272,34.595,37.212,36.504,36.491,36.903,38.107,36.021,39.029,34.873,36.382
67,2.978666666666667,36.046,37.978,36.793,38.731,36.7,38.948,37.92,41.193,38.635,41.225,37.672,39.596,37.706,39.512,36.677,38.568,36.931,39.192,36.955,38.885,36.805,38.52,35.881,38.273,37.005,39.825,36.797,37.832,36.54,38.508,37.99,40.437,35.723,39.105,39.574,39.182,35.538,37.807,35.496,39.441,34.738,36.395,34.753,36.361,34.508,35.621,37.733,37.452,36.759,38.063
68,2.981333333333333,36.669,39.491,35.001,37.247,36.707,38.701,36.249,38.589,37.396,37.797,38.505,39.009,36.457,38.684,37.488,40.833,37.243,39.075,37.325,38.019,35.301,37.643,38.482,39.744,37.313,37.766,35.462,38.202,35.568,37.332,38.341,41.509,34.594,37.343,37.009,37.22,35.175,38.14,35.218,36.189,36.981,37.992,33.384,35.243,34.996,37.191,37.332,39.343,35.317,37.532
