,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6
36,2.854,2.7074698556237076,2.7073605847225912,2.583933546154103,2.583095077921362,2.4748379138917693,2.4751524053935574,2.4171794640237017,2.4174033333367113,2.365164598974193,2.365125800632492,2.4019913502843804,2.4024933337565963,2.4019913502843804,2.4024933337565963
37,2.8555,2.6947369555416105,2.6950938532153157,2.5772664458036774,2.5772055465454615,2.503793590534594,2.5032512922981676,2.4795581868770236,2.47938909375333,2.3768720857161485,2.377033524782789,2.3762539669233744,2.375887354053214,2.3762539669233744,2.375887354053214
38,2.8569999999999998,2.684664787208711,2.685254442503179,2.618510840529113,2.6190663516371884,2.5146196932194043,2.51343964989599,2.4514682887979986,2.450562877995221,2.44858090587749,2.4483973342699272,2.3390182583302397,2.3392209011196785,2.3390182583302397,2.3392209011196785
39,2.8585,2.70738628425683,2.7069086972804093,2.581987482705461,2.5812930068032554,2.4904016838015908,2.4905138458486125,2.4955152267516345,2.4949899855998483,2.379233237359563,2.3785631922773254,2.4118661202991434,2.411835787505855,2.4118661202991434,2.411835787505855
40,2.86,2.6257104927990693,2.6261831753761222,2.529735630285215,2.528655347154889,2.5152848707657123,2.5145119724960048,2.500052031725516,2.499500924992335,2.438167631871499,2.437970580813807,2.40925180363605,2.4089670659318982,2.40925180363605,2.4089670659318982
41,2.8615,2.7043658988386947,2.7044057439885982,2.553124972019477,2.553391232160172,2.495955104095454,2.496446279746434,2.4313773226783937,2.431431754459765,2.4287403049622323,2.4285659791447034,2.396448052560209,2.3958089805289857,2.396448052560209,2.3958089805289857
42,2.863,2.7328427640755253,2.731278502932783,2.505241983443674,2.5065513867047193,2.5330636561168265,2.533424255167268,2.4732737308683217,2.4725433482589447,2.4104122837323354,2.410011527965529,2.3555232967115485,2.355885521420923,2.3555232967115485,2.355885521420923
43,2.8645,2.6794800359179063,2.6790908680515937,2.5902432280646166,2.5906582764673276,2.541073732653123,2.541560269215668,2.468823354989008,2.4682876487476526,2.413451944186714,2.4134541309942796,2.3814761512126874,2.3814666063525345,2.3814761512126874,2.3814666063525345
44,2.866,2.6519691881156318,2.6517107060881897,2.525609847566916,2.5253285149140736,2.522530260061295,2.522795926877774,2.4701159071423477,2.470620498981262,2.4970623771143337,2.4967715166747833,2.389969168125552,2.390433181316618,2.389969168125552,2.390433181316618
45,2.8675,2.645725892764087,2.6461869714354114,2.580931177039155,2.5809889520082256,2.459919671521882,2.4597389739750617,2.477731706671091,2.4767365782061166,2.432390862156761,2.4314982890377186,2.4412146485095545,2.4407227549435104,2.4412146485095545,2.4407227549435104
46,2.8689999999999998,2.670584119680115,2.6704763626265504,2.590716839727229,2.5910297226583343,2.5182839140553894,2.517748615416439,2.4142620792135494,2.4139551789240787,2.460758061141511,2.461270103099362,2.333776763415252,2.33442422398975,2.333776763415252,2.33442422398975
47,2.8705,2.618375861158581,2.6180182442474154,2.588673822704994,2.5883396349461316,2.5293755810537806,2.529295079900022,2.492518935283768,2.4920930162572197,2.452179798652413,2.4525051765348342,2.379527962859582,2.380046690878877,2.379527962859582,2.380046690878877
48,2.872,2.695792780151776,2.694736095760227,2.603064814930138,2.6025491327655947,2.569272719511289,2.5703711055988077,2.516237331932255,2.5164091883651714,2.4297080286058756,2.4299715552834287,2.356503261984289,2.357081436146825,2.356503261984289,2.357081436146825
49,2.8735,2.689376192205625,2.689555391581121,2.5449118792364236,2.5445891713829965,2.559996751199598,2.560036313966395,2.5117756093310186,2.5116878457136362,2.3814582657031687,2.3811423686515663,2.369434877982158,2.3688276999962707,2.369434877982158,2.3688276999962707
50,2.875,2.7114677845767337,2.7116788621741317,2.62286774978662,2.623101880465632,2.5731753782672384,2.5732495537205153,2.5175212920271086,2.5171110081265344,2.410653847547887,2.41144042719721,2.345574409067224,2.3458275950243697,2.345574409067224,2.3458275950243697
51,2.8765,2.7464127982975386,2.7462549821236846,2.576119682789599,2.575781949485343,2.5163829376071836,2.516770885488164,2.4879544987964213,2.4866849582620283,2.4412925332353423,2.441123158981992,2.360265227391718,2.360445097986917,2.360265227391718,2.360445097986917
52,2.878,2.693506316443849,2.693906932601317,2.4739145664707847,2.474418081105657,2.5611808481005953,2.5619685536529397,2.4899351387870947,2.490010188882994,2.4311115234508214,2.430627142397074,2.3590641214508197,2.3595507201688,2.3590641214508197,2.3595507201688
53,2.8795,2.6824495027919038,2.6823164123601604,2.564656823740514,2.5648034097100365,2.5448451950099304,2.5440646426306173,2.4654059149245784,2.4644865242788008,2.4107114360531385,2.4100792357641536,2.328472134308253,2.3289322739071316,2.328472134308253,2.3289322739071316
54,2.8810000000000002,2.6812440704671703,2.681831398575123,2.6391522680777246,2.639673151353308,2.4603530638312963,2.460432127014518,2.50676307482459,2.5068619909355743,2.3681324589467936,2.3677000590815087,2.3745039173741382,2.3751518928545847,2.3745039173741382,2.3751518928545847
55,2.8825,2.6335816657161653,2.6339044671551024,2.4859232230362984,2.485797457994653,2.564495544060923,2.5642623495333092,2.4743035057531766,2.473334493378515,2.404156549703799,2.4041695284289455,2.4132085627824793,2.4141163330319424,2.4132085627824793,2.4141163330319424
56,2.884,2.5959042864699264,2.595731506898191,2.539397468772654,2.538863309194617,2.53646046658796,2.5361631558953945,2.492232601615318,2.4926804649897045,2.4003579727828206,2.3999178875582476,2.4154372946041534,2.415422223009849,2.4154372946041534,2.415422223009849
57,2.8855,2.713790344069345,2.714335249918396,2.6200027531445147,2.6193032016695916,2.4903766624689903,2.4899091657308348,2.49283912802466,2.4922088482096627,2.418537622322962,2.4191667767779936,2.3634839393447966,2.363079341008955,2.3634839393447966,2.363079341008955
58,2.887,2.7210273083792584,2.7211926532359043,2.592084176387557,2.5917300902836367,2.549938602999602,2.5500810495661286,2.442132480787615,2.441959561299076,2.410974037595118,2.411970148919302,2.327046320667444,2.3268066610482383,2.327046320667444,2.3268066610482383
59,2.8885,2.6186277127407744,2.6174358902440087,2.5940702199162535,2.593992795860415,2.537739377814251,2.537649474646999,2.4504785256086885,2.4513395308549653,2.328488117331268,2.3283646175322685,2.407096337118283,2.4071506290453937,2.407096337118283,2.4071506290453937
60,2.89,2.635698484240788,2.6358975820892643,2.572011590496282,2.5732974533880957,2.5656478643220955,2.5654710250412207,2.438783946424635,2.438577070566352,2.415760800814219,2.4153785059756947,2.373191958900849,2.3730667560785665,2.373191958900849,2.3730667560785665
