,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12,Signal Run 13,Background Run 13,Signal Run 14,Background Run 14,Signal Run 15,Background Run 15,Signal Run 16,Background Run 16,Signal Run 17,Background Run 17,Signal Run 18,Background Run 18,Signal Run 19,Background Run 19,Signal Run 20,Background Run 20,Signal Run 21,Background Run 21,Signal Run 22,Background Run 22,Signal Run 23,Background Run 23,Signal Run 24,Background Run 24,Signal Run 25,Background Run 25,Signal Run 26,Background Run 26,Signal Run 27,Background Run 27,Signal Run 28,Background Run 28,Signal Run 29,Background Run 29,Signal Run 30,Background Run 30,Signal Run 31,Background Run 31
39,3.239,1.683845001880908,1.6841668331283417,1.7046879699548583,1.7043158837374006,1.6161029285750899,1.6156834924881747,1.6473137938766322,1.6472167198486982,1.622157066531277,1.622526122926771,1.6183590535466994,1.618650307014256,1.6678141597947576,1.6676937542434127,1.5578893864362464,1.5586037927776688,1.5907441542982683,1.5910003949198583,1.5885257394233936,1.5888118392334767,1.6252928797258737,1.6247101542368083,1.5541444806445517,1.5542583583572076,1.650519082476195,1.6503155955222844,1.6206067191905493,1.6200268672294615,1.627936404608129,1.6273951574557326,1.6374980713190537,1.6372130021195952,1.6361504673413894,1.6357697295567788,1.7428694741809894,1.7424268001678356,1.775630508409446,1.7760386069225107,1.736207386096129,1.736480118117882,1.706158044777461,1.7066169914997158,1.7175198986098745,1.7177677374165654,1.7614380137528824,1.7626192377972847,1.89001778800795,1.890056642636883,1.9211049547697698,1.9212741472529953,1.8661704526355425,1.8665154591506852,1.8854560243763203,1.8859803744591772,1.8497568698788394,1.850094099343586,1.8707740043144019,1.8707582000651695,1.880370470042772,1.8806467314524635,1.9295216023091493,1.9293391042769028,1.9295216023091493,1.9293391042769028
40,3.24,1.6996134234216538,1.699813880762299,1.6810602736267803,1.6810071765152963,1.650125916973197,1.6496707182529622,1.6659143515180768,1.6656597976717498,1.6021915095083907,1.6029232192986125,1.6552547595216998,1.6552274924922887,1.593915832237686,1.59384827401885,1.5850145514266167,1.585044691868949,1.5798800952156988,1.5794178377672725,1.5984733086102356,1.5990201467489962,1.5975014768412268,1.5971368556361785,1.5785606277974842,1.5787128604906076,1.6873566269950468,1.687727588740544,1.618889526387437,1.6190813007350722,1.6029377708128285,1.6030615496255278,1.629625116329602,1.6298056464534674,1.6596016629380679,1.6598545926521373,1.7304478623765571,1.730235442618696,1.7184736237584977,1.7189316960421903,1.7597789164808975,1.7601809556442696,1.7135916842121246,1.7127687096085504,1.719684574723614,1.7201463324539512,1.7571287400638262,1.7578923705667504,1.8571498751818927,1.8581265816117007,1.941392007241604,1.941242773110267,1.9036258977157552,1.9036746847093566,1.8997438416086807,1.8995288606080638,1.8554691254217142,1.855806448504089,1.8216512784967156,1.8207140200338916,1.8699005578824417,1.8701022020560263,1.9346125578823317,1.9340905816207399,1.9346125578823317,1.9340905816207399
41,3.241,1.7049046993708616,1.7050772025955336,1.683719756235321,1.683791218693378,1.592021289813869,1.5920781661058538,1.6576484774644737,1.6574749435697835,1.6522765333229457,1.6527349491444019,1.5897269252446153,1.5896349423497345,1.660803222717965,1.660693780087635,1.5716560399877724,1.5719820876447643,1.5913588210722553,1.5915863891603268,1.5747916675310765,1.57450450571554,1.542361578176917,1.543210382715972,1.592897801624703,1.592593211418417,1.6404658890278272,1.641031279887001,1.58257830399913,1.5827729831111712,1.6682758905433541,1.668980801927465,1.6424631842647708,1.642449285398508,1.6533855459245241,1.6535275651479882,1.6972136781291847,1.6973916785705354,1.7809901946988498,1.7804859279774456,1.7524152144389655,1.7517215157922128,1.7374525012645026,1.7370512742636994,1.7438875660365534,1.7434705971162587,1.7654323261423983,1.7656944698939532,1.8527084492137431,1.8520859007242318,1.9323600172174868,1.9317869738768731,1.8632397149319284,1.8617598660837016,1.876845546691521,1.877505981530905,1.900034129495478,1.8998992003893111,1.8561288771082414,1.855754198793643,1.854187238281066,1.8533602658395896,1.9203994129296043,1.9195583852318923,1.9203994129296043,1.9195583852318923
42,3.242,1.705249587735896,1.7054392070970414,1.6746952143014726,1.6745581300787846,1.6441544548265397,1.6438285009098206,1.6127745467731485,1.6128529744680837,1.5826904352931417,1.5825013471347158,1.6309176578128322,1.6302988575107455,1.6392007170838414,1.6388042064815167,1.5947308250171626,1.5944212062142156,1.5892252202999455,1.5896158277617298,1.54307653632847,1.5429940172282113,1.632651831552544,1.6328062192942912,1.6023035438732245,1.602868091324539,1.6627177405012352,1.6622453008319096,1.6330948206914353,1.633121306761392,1.6406198420360287,1.6401200419006572,1.6045350352839904,1.60354596051728,1.66104588070086,1.6614789969894292,1.747790829642452,1.74883275178976,1.7481926503797076,1.748779655062797,1.795429521455944,1.7953498132593755,1.6850666757285406,1.6853969711600196,1.7517921362099251,1.7523912907297734,1.7793290320783832,1.7792229001335322,1.866425472339976,1.8657106284403349,1.886232991119137,1.8865078781694942,1.896947721911915,1.8961475166559714,1.9090662008809516,1.909177174077207,1.8660369228863445,1.8653873572882804,1.8438869839353913,1.8435252361842198,1.8328192600349822,1.8318484566920705,1.9469006468533112,1.9471908073080255,1.9469006468533112,1.9471908073080255
43,3.243,1.7042037232953178,1.704692060864602,1.6848989901366753,1.6851553869143001,1.6741662657156915,1.6743795912285466,1.6374751135199872,1.637396311171745,1.531831700852685,1.5322148122551993,1.614018531439513,1.6132421576009817,1.646725547640454,1.6463861320319064,1.5823035975637303,1.5822541860472994,1.5882134969023096,1.5882799933025842,1.5798373645897223,1.5799379680968284,1.5678462064471337,1.5675951507196422,1.6110280572752507,1.6103488199869855,1.6285663852638634,1.6280561841779013,1.6136572744197526,1.6138157224511083,1.624200119658221,1.6242723942684347,1.6226330279085799,1.6228363275126092,1.6774648196731607,1.678338767313496,1.6851704028001522,1.6842963926589,1.7373107660381273,1.737432327206114,1.767015401338953,1.766719587836483,1.7391518657429093,1.7395777985560725,1.7215228935698665,1.7212575015979534,1.7598739891058544,1.760209375620251,1.8436515435568734,1.8433734393723273,1.9230220145760333,1.9236086131491654,1.8737918003820275,1.8741993365950915,1.8732896849278398,1.8732429282725933,1.839434877015577,1.839756614526966,1.8261975110901196,1.8261197706002124,1.8671301083116443,1.8668927950786183,1.958713544246849,1.9582734312171854,1.958713544246849,1.9582734312171854
44,3.244,1.6866735165111666,1.6872116403586792,1.6795080572907457,1.6796190615610576,1.6654565265849421,1.6657385037134091,1.5865510607440476,1.58744605980822,1.6360577949922521,1.6355258241531276,1.6544857576224026,1.6550144178155681,1.649203084806873,1.6492838549431592,1.5625140781092233,1.5623054687914881,1.5703792385004778,1.5709256080216842,1.5653013072162172,1.5655854706041623,1.6045420832995312,1.604757282801811,1.5792452673695405,1.579829710660678,1.5940610563403,1.5943023360103963,1.6165186134942446,1.6160232172649298,1.6055529068133376,1.605799433618771,1.6202877649198082,1.620195438319633,1.668861555566699,1.6687029512579643,1.6973651286816345,1.6978164230779766,1.7298320635499465,1.7296882951961623,1.758346696260895,1.758631015882628,1.6651806455626244,1.6651365125711477,1.738665244536316,1.738909647605259,1.7567817045666754,1.7573024001549968,1.8198423243994897,1.8197077387419078,1.9287530018086458,1.9284605926570422,1.9059668632334783,1.905858264085336,1.8485096317877157,1.848648434008458,1.8469606223842232,1.8469394146346338,1.8779672928375963,1.876720977778182,1.8841907461228093,1.8844582308258992,1.8873432962341692,1.888719637120853,1.8873432962341692,1.888719637120853
45,3.245,1.696857519909582,1.6966906386955587,1.653818291614813,1.6542763637305382,1.6534442635737585,1.6537262405909212,1.6010821968489588,1.601455063648508,1.6281411099373881,1.6280161442224514,1.6556395526271637,1.655512369274954,1.6271204331143512,1.6273316347945184,1.574584775555862,1.574192325256427,1.5951895386524189,1.5940505113710914,1.5435114049019203,1.5431539675448622,1.597895198423408,1.5979542299026985,1.6068134848635784,1.606385740556393,1.6572628242018426,1.6576581167141886,1.6184718041016461,1.6181451005204892,1.6232189705736026,1.6237893586725767,1.6159242973866306,1.6156905451027277,1.6642162691588485,1.664308095985245,1.694645493596488,1.6943083266764578,1.75917916932103,1.7594429995402712,1.773790124829991,1.7737703852191433,1.6962907571781376,1.695788614368765,1.7363882188689501,1.7363890310205883,1.7494264150523922,1.7495663416085498,1.895091220910315,1.894713169180166,1.8593168004878542,1.8592505852228445,1.9193147939875994,1.9194058712941227,1.896907925335838,1.8969843852806305,1.872484667331467,1.8735985205833419,1.8720459889831664,1.872246134044062,1.8915134416853194,1.8912740048225685,1.8998588540767465,1.9000729293532979,1.8998588540767465,1.9000729293532979
46,3.246,1.7054161263444432,1.7050490689223363,1.699760539290202,1.6990194280513515,1.6703001995758773,1.6696814618215583,1.6387771481463034,1.6389843831743018,1.6092461244073055,1.609829162208343,1.6415197723012538,1.641660292308863,1.6148600201298355,1.6145452165886902,1.5679555678812798,1.5675899785303304,1.6444957110741445,1.6445877565285438,1.590434427398563,1.590473188307536,1.599359061526981,1.5991069439655354,1.6010477310009712,1.6012872927945707,1.673903814237039,1.6733575071120863,1.630450174702273,1.631072910412322,1.6100986084060263,1.6106255506577887,1.6354069199626142,1.6352066811943153,1.647217161717828,1.6475415227126693,1.7256322051622877,1.7263378662320137,1.7576064630935642,1.757867295057448,1.7699773471073164,1.7700204181854082,1.7166585066078988,1.7166950497861178,1.7513809152189355,1.7513158868328988,1.7722396625641963,1.7721873151206702,1.8460040939400166,1.8458224703806634,1.8901424434155596,1.8903068261294749,1.90589589969431,1.9057068426629573,1.8886242994085078,1.8891055157269394,1.8548951221799959,1.85538242920246,1.8215516657558175,1.8214905727293262,1.8267686451758411,1.8265279276856003,1.9413606452263146,1.9417560317932134,1.9413606452263146,1.9417560317932134
47,3.247,1.6788534969649562,1.6790315285939883,1.6865999049664402,1.6870442655186446,1.6514921029913654,1.6516335912279307,1.6142675453056057,1.6138877445683346,1.6197767532639467,1.619431996721802,1.6191087529718629,1.6183442478605934,1.6568982698673775,1.6566236014277917,1.6033823803871143,1.6035650346141146,1.587052886468627,1.587461547014078,1.5422634671478015,1.5428364476611944,1.6316052875648352,1.6317255994488513,1.584839551546141,1.5846794168186658,1.6554119906299465,1.6553192268359294,1.6561769025898532,1.6560484699827713,1.6332837881487134,1.6340159040463926,1.6357546735742452,1.635162609179038,1.6720945767843238,1.6722674236008075,1.718162435182737,1.7186450881606012,1.7822540930264241,1.7821216311763721,1.7571682578549175,1.7574763462742442,1.7280595932500125,1.728826722022119,1.7043251345157762,1.7043034895901474,1.7394170397640785,1.7395513442568815,1.8352317181796978,1.8352731028837947,1.8936737156041468,1.8936350795943195,1.8532415218576204,1.8535760025568364,1.8904066446231986,1.890701552615263,1.8670517382262009,1.8668091467648613,1.8360965949967563,1.8359598543099969,1.851506514992828,1.8516946037843351,1.9737828938896276,1.972533767674922,1.9737828938896276,1.972533767674922
48,3.248,1.7077856887636298,1.707588635830188,1.7195481711805403,1.7189527335703012,1.648208168913542,1.6481357693763445,1.6397795914942628,1.6398949684470638,1.65325948697694,1.6534880545717825,1.5660908992263525,1.5672477608866595,1.696362405597046,1.6963336394768747,1.5732632499748842,1.5727737568731286,1.624029298053038,1.623509320808445,1.6079875253347082,1.6075780214214002,1.6150002301016713,1.6155492855540352,1.5845470535950021,1.584146232834193,1.6597322838261992,1.6604968825931767,1.5984177699641635,1.5980285054867653,1.6015441630518006,1.6017238499510984,1.6399006843791457,1.6402892928629127,1.677207176890979,1.6778616459857967,1.7078240790842203,1.7074716389117874,1.7860929546116837,1.7858231899116688,1.7319529597327292,1.7324954877958636,1.7274032874930734,1.7277076590788591,1.7186936564252915,1.7180215403664991,1.731649639073264,1.7311500887217837,1.8421388084785852,1.8420616303122734,1.9178257675449357,1.9182680668769012,1.8669516339928407,1.8671378177068492,1.8635646917926278,1.863443099331946,1.883641134176101,1.883872668904671,1.8621700491428073,1.8616958916621178,1.8583390233960635,1.8580895918068803,1.9778852737956014,1.977462276996917,1.9778852737956014,1.977462276996917
49,3.249,1.6826029311968973,1.6827478550763568,1.6978121124834118,1.6974976212849626,1.6400243705435307,1.6396935441617524,1.635501058170509,1.6354655143522108,1.6231023260147104,1.623529476867063,1.65333816446957,1.6530992898859336,1.6451752904579053,1.6454824418433505,1.5737937520553649,1.5738153344583856,1.5790748580978742,1.579436980584176,1.5821468391846956,1.5821815084564699,1.6399259230073384,1.6401127312394983,1.604397725955797,1.6040235473468814,1.626362387544401,1.6261321333737886,1.6149539672535982,1.6144574154271094,1.6017290651539322,1.6018747700066287,1.5753486077136547,1.5756547597372246,1.6577408886785339,1.6576161105026774,1.7176377118839257,1.7180161383806807,1.7810713076528504,1.780922604523477,1.7841301694920941,1.783814709943677,1.6956495960270677,1.6956354158224531,1.7267950946079247,1.7272203402269268,1.7603275933805658,1.7603355267831153,1.86306458007248,1.8640748001076586,1.9205028692847639,1.9211524036918404,1.888019308081417,1.8883639711424682,1.8891724795051024,1.8893507296909091,1.8914481916944337,1.8915837456311426,1.799576201330628,1.8005853907488698,1.854597770024124,1.8545651933404217,1.9789345942843148,1.9801685099096904,1.9789345942843148,1.9801685099096904
50,3.25,1.7195622281915524,1.719899395068259,1.6924823145297943,1.692250592399629,1.664806180069214,1.6653945900921288,1.6122663783029296,1.6125441387682264,1.6163716633885143,1.61645084045994,1.6354172565354008,1.6355692704658524,1.6209194613015956,1.6206993581289908,1.5960879317818086,1.5963718140226182,1.5906205535458866,1.5907272162292383,1.570744572114306,1.5705258432173241,1.6335810006635958,1.6330281033039158,1.5251530151322346,1.5255726387197595,1.5998338218884876,1.5997862843154345,1.6203209952648034,1.6200111890461535,1.597500002423755,1.5973028871632882,1.6419655456316629,1.6424359863266738,1.6471118119838297,1.6472827223265045,1.7148952771634467,1.7147610351237206,1.7609596354303303,1.7608190840967275,1.7786501074099317,1.7778039576950264,1.7129945846505388,1.713212564040825,1.7078688725477575,1.7081758052084344,1.7854670334003724,1.786126406250533,1.8427726622277554,1.8428242600787594,1.9528905694691547,1.9533351800838856,1.9163969173640403,1.9160733995575978,1.8620294642997126,1.8617298090739507,1.8853021650109754,1.8850564189649257,1.8411647331663752,1.8411909381360974,1.8653355800775215,1.864139613572264,2.0077968712952563,2.007880109005974,2.0077968712952563,2.007880109005974
