,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11
22,3.261,1.9683457470732884,1.9684651846313947,1.9786950637316958,1.9793794862653624,1.942016044612386,1.9417011161589879,1.9165794143686103,1.9175638981266092,1.9013824185801422,1.9011182134492872,1.8595880555587312,1.860050594257837,1.8100704102872371,1.8095765130177912,1.832870067523288,1.8330846424874165,1.7958441204858289,1.7953719307043983,1.8043064886165034,1.8050408221112397,1.851696817294442,1.851953620134448,1.7774505510114755,1.7781961598791607
23,3.2615,1.9989512882765397,1.999155930903525,1.958816990135242,1.9593087323999931,1.9615084589329042,1.9619522576582513,1.9196718937060793,1.9194938621580089,1.8617650741655922,1.8619345165555128,1.8286932717107112,1.8288604338657162,1.834636456246366,1.8347905003531668,1.8234286770357306,1.8232406818059954,1.8127169860682837,1.81237794511799,1.799168280772569,1.7992330592123926,1.8070375281319964,1.806708075937943,1.7976655175443494,1.7979468076604979
24,3.262,1.9599155098454215,1.9598061922617296,1.9474318652140474,1.9477898338119664,1.9032012883809952,1.9036219429626642,1.937236676355204,1.936253910438577,1.9079161780353981,1.9077442993783054,1.851564458774528,1.8508361220455691,1.8416978771948147,1.8417209276227593,1.8419551793039628,1.8418210934599928,1.8405324862586203,1.840443126872896,1.7641067174012908,1.7642319952963021,1.7948812786878003,1.7944918267530803,1.8005720083639738,1.8003994425955352
25,3.2625,1.920785110682598,1.921327919850653,1.9272103782587091,1.9273313460073793,1.8883728996771791,1.8880540044597542,1.9346476617557782,1.9348237570055569,1.8814571499214023,1.881113642546112,1.838969715002696,1.8384915595382296,1.846465157064857,1.8469159206003092,1.876665975367888,1.8764540240409482,1.8059679682689147,1.805768666455656,1.8042846314752399,1.8042170730817984,1.7888623823986287,1.7884784587352296,1.7991043802544853,1.7994312713407354
26,3.263,1.9814219555088708,1.9816947186951168,1.9193850112936317,1.919342252370115,1.922595080354416,1.9222456385303754,1.8732104859341046,1.8732631770678603,1.8702359142420355,1.8703103438738822,1.8825036285212093,1.8830459378730025,1.8133837639017996,1.8132872833018383,1.8656636176249868,1.8648597579708701,1.822836941411726,1.8233646333934463,1.82139887529426,1.821593054615765,1.7987013979439257,1.7989970554395356,1.7271896099843866,1.7273549606550211
27,3.2635,1.9757013679845383,1.9757611804459212,1.8899022873957108,1.8895511589671092,1.9378999533363963,1.9379918425985765,1.914592832867424,1.9140937508404094,1.8882812560874742,1.8889375994380706,1.875389800542731,1.8761725775140352,1.8486356124608887,1.8481365617508985,1.8150768145778868,1.8150920565108886,1.8054704544362776,1.805928339267704,1.8327638739047951,1.8323945051776176,1.8167581451276722,1.8168467861418263,1.8305994166590147,1.8306879015926774
28,3.264,1.9770413038502865,1.9767827207594924,1.9424597175434992,1.9416976483846717,1.9736567660557325,1.973547510856287,1.8894568551504756,1.8896712739347596,1.8734642459012987,1.8736846303121384,1.9026998747655246,1.9022338690329321,1.8316186330686615,1.831841828464251,1.8059729583143558,1.8063766527356568,1.8175151937378635,1.8175412737004262,1.8357756727560322,1.8359454898382475,1.7832490106745045,1.782780194099278,1.7892139739573392,1.7889542352750198
29,3.2645,1.9558458561712975,1.9558131545279036,1.9869847133518905,1.986946327132317,1.931321877317571,1.931828080576899,1.90977561338942,1.9103302912842461,1.8688727202476114,1.869130553753231,1.8681180541254194,1.8677835420072988,1.7979594479359995,1.798575093687809,1.859938477669884,1.8598865050676912,1.8480333687131323,1.8481671422464512,1.8356465866416507,1.8354427872734846,1.798349208101444,1.79838000444938,1.8300778844725163,1.8306923120035739
30,3.265,1.968482387024584,1.9687173888618519,1.9493073219502308,1.9495849577451998,1.9572283025929647,1.957369416090474,1.9116383836247235,1.9114013203921,1.904941923507949,1.9046050689080773,1.8668020900655735,1.8667478996294364,1.8391247919322669,1.8393848119002825,1.8254432160696978,1.8256519191093041,1.801904127619187,1.8021737673874718,1.8260931555245,1.8265193069579815,1.7824472465722356,1.7826059757304233,1.8038799630629627,1.8043325381523798
31,3.2655,1.9632675926527259,1.9633669779745018,1.979956714292522,1.979769343835428,1.9770299394522637,1.9778292079134958,1.9637349110962226,1.9631032734019584,1.844715424982622,1.8455670408868883,1.8876675167100907,1.8871072169884755,1.8281295578414676,1.8279613334395566,1.8220164810452435,1.8221287347385307,1.8734194718662152,1.8728249085166149,1.8337654133655215,1.834193876014655,1.8342292355982077,1.8336764319068133,1.765858973360175,1.765996151350039
32,3.266,1.9920898523785429,1.992549642686628,1.9723827493437607,1.9713973598024153,1.9095839618912251,1.9102035120262701,1.9277214498301094,1.9279793770613018,1.898316402759152,1.8976240470731434,1.9252144803760727,1.925074866111535,1.874480528153867,1.874788210648627,1.823098166864664,1.8234178741031097,1.8438066764622418,1.8437744121670465,1.7821455588965172,1.7823840589260853,1.828124413182725,1.8282323565663434,1.8335832061353041,1.8336402075830482
33,3.2664999999999997,2.0406336523288324,2.041249391951496,1.984298657436553,1.984805547882327,1.9495868365515998,1.9496344367225407,1.8737218170827847,1.8739923001235292,1.8832152273583211,1.8829771335146819,1.87820472796863,1.8777552762731422,1.8519060551865056,1.8512958753515054,1.7582748962054426,1.7586687831090777,1.848121291919247,1.8475489045887095,1.8067174478591561,1.8069229025114681,1.8322838459216153,1.832352778505729,1.8031782395499176,1.8026026352811162
34,3.267,2.0227801038397635,2.022140283134994,1.980007405873934,1.9805354415750425,1.9664761295044955,1.9670396152679306,1.8867633031216577,1.8866478949239849,1.8600371045067343,1.8603348547275236,1.796047705955393,1.7964971888121606,1.8756201602689209,1.8758213985754406,1.8207314351972148,1.820494903015517,1.82297814297203,1.8233327382545197,1.8339170500952882,1.8335657031541308,1.7777622648690365,1.778219931064369,1.8135525170948927,1.8139523698734388
35,3.2675,1.9793331161649832,1.9789223628080672,1.9576716476174494,1.9574918043355356,1.9515660832039001,1.9506188297718046,1.912316622039744,1.9128458134141395,1.876958478251213,1.8761122033352748,1.8891268460678976,1.8886703354815786,1.855678519896459,1.856060631968157,1.8320756416311905,1.8323994406179365,1.8427840886844853,1.8421439244061353,1.8038816892376663,1.8044943991430205,1.8355405141840384,1.8355179323664372,1.8020417534007516,1.8024300495653802
36,3.268,2.0020849070495164,2.00240245921364,1.9524844623268616,1.9528037325265417,1.9472645437426788,1.9474962034188745,1.8515545573316725,1.8508022956580967,1.8353930976419381,1.8358607585784328,1.82507728728437,1.8248673036273928,1.8675123770196616,1.8677368842534707,1.8281976448059278,1.8277296403021352,1.8553165776099148,1.855097099011462,1.8322387460929166,1.8315045999094102,1.7922443498023655,1.792836601602938,1.8388465029498213,1.8379717741512618
37,3.2685,1.9344388691268615,1.9350663213735702,1.9549867604028812,1.955140492332157,1.9478726062071698,1.9471680693309048,1.9309112123264742,1.9314158539789568,1.8819017324279546,1.8812674088247674,1.823338368969781,1.8227869082987007,1.875822385613941,1.875287259929276,1.806760804067547,1.8062559752962393,1.8271105382586328,1.8276914208945858,1.856872947451039,1.8566805796238088,1.8210508944451322,1.8210736013467852,1.8046684894523828,1.805383052266356
38,3.269,1.9867955711301526,1.9866012355168698,1.980213826993853,1.9797467594105531,1.9537918709843707,1.9539389813241066,1.9223792169063545,1.9219672142320545,1.8999982063869454,1.8999497317962513,1.8375346527317793,1.8371342689964463,1.8383273087151775,1.8381434364984446,1.7780351156009222,1.777279543216177,1.8600463771388305,1.859320851380866,1.8518483354696709,1.8519020884784179,1.8207149149377062,1.8204028285963105,1.775740944997597,1.775474865926443
39,3.2695,1.9829220981253368,1.9832520188340568,1.9634124816335643,1.963189192421106,1.9286231010805939,1.9281933265101288,1.9521674433800726,1.951472713853627,1.898147333009013,1.8974095012139078,1.836374270343268,1.8364638171924235,1.8162595681878195,1.8168347351944023,1.7984825801797615,1.7981138361599867,1.814502859925469,1.813524279539541,1.8366429320290383,1.8369663561344518,1.7864013253927205,1.786873515203465,1.763603798212859,1.7636724184555144
40,3.27,2.0281009715349723,2.027821399251784,1.9309066518574625,1.9310626325182683,1.9673874601527168,1.9674255963452612,1.9004809332097328,1.9005359669515007,1.9318755523815343,1.9312327019994517,1.843888194475242,1.843967777724912,1.8298157978276173,1.8304404701301937,1.80049740014348,1.8009531299041472,1.8504799645886663,1.8500011844850752,1.8482853610409578,1.848594386420909,1.7760366050800647,1.7762326583828254,1.7937133960840708,1.79316874413862
41,3.2704999999999997,2.0420939807204204,2.041945183714403,1.9294844613128512,1.9299350688401726,1.9552511048901149,1.9552794961539854,1.9209878540205894,1.920963179438839,1.852659165513904,1.852266434052719,1.858029531494467,1.8585326115189411,1.8074061451670462,1.8080747319938026,1.8080247615924077,1.8086362532660885,1.8257228809371415,1.8254902529413986,1.7905409294278987,1.7911002610541895,1.8167521154835282,1.817003577236144,1.8088667547719997,1.8086848188145097
42,3.271,1.9719923638939678,1.972489353320128,1.9466470598977987,1.9468208749508171,1.9363716017263113,1.9372535768501549,1.923743915705483,1.9235836871242535,1.9133006968603834,1.912450299068468,1.8685400764416176,1.869399844168685,1.8577334689285676,1.8574257240713647,1.8640924725553465,1.8642772194731512,1.837691008784456,1.8379397845741308,1.8317520321952991,1.8327158079104404,1.7777884359056246,1.7775988791546167,1.7762621117542363,1.7764609138863088
43,3.2715,1.9878462407612263,1.9878895619544819,1.9451735862213293,1.9453624871937605,1.9245549093463836,1.9242494759682727,1.9543907122017303,1.954348359582301,1.9101219609531315,1.9100162976458461,1.8475613311005175,1.8472005828004459,1.8061748847777326,1.8062886376636702,1.8080075171517782,1.8077789495484626,1.7564051987163216,1.7571859140644386,1.7744101149763933,1.7743188502624598,1.7892109129967437,1.7889103207330799,1.8021100158546177,1.8023657254359302
44,3.272,1.9902833696588058,1.990769396082942,1.8855696871574295,1.885135008759024,1.960675890521736,1.961205644009534,1.8937380488010334,1.8935549885959673,1.872220967014466,1.8727912928862105,1.8655216284167406,1.8651903022327836,1.836458687573472,1.8361646855449625,1.8182292842910268,1.8180638084933585,1.837516600268105,1.8378512372871045,1.838659000257774,1.8388175732916276,1.8486386095985232,1.8486837734128279,1.7580640322100727,1.758282167733277
45,3.2725,1.9702155080442516,1.9708596703422114,1.9138262335467247,1.913504371052836,1.9380620925413932,1.9378351803268612,1.8712314887481818,1.8709799019517923,1.8725490116281807,1.8719202475882961,1.8009027306336036,1.8007658023971642,1.8121819553138891,1.811039929337177,1.8345273242968914,1.83383524979406,1.749306042015297,1.7493347769859575,1.83360858656751,1.833580476151661,1.816713579977264,1.8162408591827024,1.8081902644091137,1.8078226134643522
46,3.273,2.019507385923121,2.0184627147931966,1.9090200087750355,1.9091073066909128,1.9607437598442903,1.9599016075990114,1.9458652257179097,1.9458630078533876,1.882863881713678,1.883459319295057,1.8905434126769949,1.8912367364858753,1.7975510405774213,1.797559098769188,1.8163056415578038,1.8165839329972613,1.825488627523005,1.8258566531809832,1.7824558406181794,1.782155966655748,1.8193193638777394,1.820102577963456,1.7701508522307885,1.7706175761404888
47,3.2735,2.0780994301635696,2.078542135708832,1.9160047520761836,1.9151753120438355,1.9323442766262267,1.9324590288600834,1.9545609046065922,1.954391462149355,1.8847430606219313,1.8851160836504874,1.8715414181164942,1.8721940758981237,1.8316714317541642,1.832053137940758,1.8308868582083748,1.8304270992886773,1.8168880508006855,1.8171228340114736,1.818591307510398,1.8186891623823118,1.8180391637597568,1.8179682322550106,1.75825437013335,1.7585654257673276
48,3.274,2.0273050758422713,2.0270181325011265,1.9123438980081933,1.9120601718680246,1.9226339349638346,1.9219975499851458,1.9058591926272241,1.9059684790168132,1.9029212340119783,1.902837215481867,1.8563415055031456,1.8569945379663244,1.858802003122172,1.8586752570523193,1.867071006409808,1.8666076244398704,1.778744586573568,1.7786913019997515,1.8320814823756806,1.831688376031423,1.7660136122935,1.7656176326439155,1.76398911395447,1.7643222516999184
49,3.2744999999999997,2.0020259551670554,2.0027266816790608,1.9884133520041243,1.9886070629006387,1.963586489169565,1.9630561422090094,1.94919306978483,1.9494172334360003,1.8509446587598228,1.8512820131149572,1.8523535061822234,1.8520791188468109,1.8332003016243088,1.8327785853107406,1.7956484088795235,1.7957379869443875,1.8421496159202044,1.8414954590531025,1.8013293028179755,1.8020794718229183,1.83525344852167,1.8352533548573304,1.7755330266637768,1.7760670277835542
50,3.275,1.9334865184189887,1.9338693800888016,1.9043308513096457,1.9045306839028213,1.9407271617049087,1.941174052309605,1.9083490808245789,1.9075931648313618,1.8662675563663085,1.86608437118681,1.8241015145322301,1.82417469493557,1.8586230294867234,1.8588221437603876,1.8378167313281941,1.837752733608868,1.8550517129885808,1.8546196583674202,1.8307051444085465,1.8318658480563748,1.8586010540609113,1.8592798231091388,1.7620761473960596,1.7624008520733565
