,Duration,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9
10,1090.0,2.176918388577042,2.1754991209724115,2.177158896961859,2.1781468247811104,2.184959869587778,2.1868057924082196,2.235977926827002,2.2363611665059833,2.1484952432322797,2.1462285997803074,2.151429670136325,2.150245905304978,2.2610690529583297,2.264653454704682,2.1871484309972273,2.1861748704315267,2.2687241700152807,2.2677443627062175,2.2371801217209124,2.2365238975480723
11,1189.0,2.172919215546437,2.1732459221422613,2.139702901509742,2.14105283044743,2.071543073135371,2.0727721262260994,2.114254788716791,2.111755453300876,2.149681507086004,2.14963246953845,2.2019101837311665,2.2008447957709896,2.2155406515246563,2.2147095179775023,2.143469095994504,2.1454786849879817,2.19000445742219,2.187133125736765,2.2684667965711047,2.272059631263662
12,1288.0,2.255286096738714,2.2550958827527126,2.0852962935007415,2.0882182234226447,2.200868532891759,2.2006670745424834,2.233419564850561,2.233818733415214,2.0952380388981493,2.099509585302516,2.2195879386172312,2.2191912683474575,2.0698742512763193,2.0677687752514258,2.1937144116100304,2.1934895278110007,2.2532096627935525,2.2528254860003387,2.271830996720476,2.2717738385351174
13,1387.0,2.050264686362786,2.051660528507382,2.195643104281594,2.193081613197023,2.18560734450145,2.1844782396800846,2.138394202038794,2.1386181490700054,2.213719432571825,2.2159639003416407,2.2103168013527683,2.210951474020026,2.237046434614747,2.2406108463886665,2.2835430870690208,2.285418994749593,2.2830989365919865,2.2846874920933473,2.222654482877512,2.219864359707993
14,1486.0,2.177748897341937,2.1744537226175833,2.2256407691933844,2.2253249944177065,2.2366744407386268,2.234727007408003,2.1395495502425175,2.1374546932267924,2.134300078840563,2.135215856358475,2.25533137928128,2.2544174755716986,2.1933258662408157,2.193319619674852,2.2468782435763988,2.248419323641234,2.2840465737548814,2.28369331896749,2.176455516315122,2.1781974301123093
15,1585.0,2.1712041508261954,2.1730878668078746,2.1562834081501734,2.1564723731278432,2.1023006366452117,2.0986896875808334,2.1879848701056392,2.1832866686564465,2.268312505548978,2.2724912877354155,2.2258843952249774,2.227062224459103,2.2178029263482246,2.219720687015552,2.178360783235079,2.176235628959363,2.2934951534167234,2.2872861681435896,2.225486469786498,2.2232204517189023
16,1684.0,2.2028849964717945,2.205580481458027,2.0729748325073794,2.0720509344179514,2.1904279868326677,2.1914259089418473,2.205891259044147,2.204071572725321,2.1609022825748143,2.1604162834997904,2.1838841707821404,2.1851360249776013,2.1865368717736477,2.1829243602255586,2.2151483632016395,2.210531057529717,2.2301325030898687,2.230972382466083,2.2358542349673227,2.234904100123789
17,1783.0,2.245676986077414,2.241707782942643,2.032077532163639,2.0325969521012177,2.058202792448212,2.058297430161245,2.1737103771543635,2.1747579616308577,2.2349237836025164,2.234583021957921,2.281788679641162,2.2794526975765037,2.2200420841451214,2.2189376539213144,2.257657057616445,2.2534948286398766,2.2312469249594704,2.231583625897395,2.250360192461892,2.2529638491045985
18,1882.0,2.207333329257066,2.2061045878297563,2.1880086175441273,2.1898314272385058,2.0857613606156433,2.0856145611572736,2.2166688214812904,2.21694774023403,2.217225420107983,2.2144199917169693,2.222218459959549,2.2206470830136955,2.2576658007803623,2.2572425812121857,2.2677025133347626,2.268498977471961,2.2121049293419532,2.2116258014303956,2.3358701588725013,2.3330300607369803
19,1981.0,2.1827697467631486,2.183609626191419,2.141471051912116,2.1438323332711446,2.174091726600288,2.1748578939699343,2.2054586645021956,2.205527066477407,2.176530776473947,2.179538599552519,2.1769586882985505,2.1792893611131285,2.215114323111945,2.214782930891474,2.2294128768508408,2.225805050100895,2.121169040701218,2.1193874591602024,2.2008185629355808,2.20225438486629
20,2080.0,2.176289963281779,2.1779925225346286,2.1664119367143067,2.166165813665355,2.156472385305319,2.1546224020010123,2.1568006607865047,2.157169220080367,2.1337797250762978,2.130706935270712,2.1496737009349483,2.153367732829546,2.200715815976422,2.19941242599524,2.157444377610268,2.154816046272039,2.2550924482932233,2.256223427273324,2.263023357767713,2.261987329461863
21,2179.0,2.2072605482028274,2.209535936968217,2.1205474861588467,2.1195208288443035,2.1503692779806034,2.149858604263507,2.2649320556714745,2.264050635125208,2.334328150155171,2.3296777353197338,2.1836161904757083,2.1827425786235537,2.272979461992577,2.275293580806866,2.2196572874654374,2.2242040050255394,2.292032787224867,2.2909708350315983,2.2711110514163604,2.2680279539264077
22,2278.0,2.3039472414112225,2.304182120714612,2.230209041265016,2.231037051852376,2.2224002527081756,2.223738625743898,2.194614890889906,2.1983179806892146,2.194806976217118,2.1979419218421103,2.1963405566216005,2.198480078297007,2.1647093896482312,2.163517191875165,2.115538816422526,2.116513938079564,2.1823246822302806,2.1796882302673213,2.15414576963898,2.1567053867077166
23,2377.0,2.0488391861823514,2.0494073308816585,2.1850791892316783,2.188325951806543,2.2083837463773333,2.203620890718371,2.0633504308166546,2.0608785811380095,2.1485686428177706,2.147471395970254,2.215633103488606,2.2176439413895026,2.2048458697285747,2.2005121669118273,2.1578816593416197,2.156875303489633,2.1182883287258027,2.1193877614236865,2.237706103901423,2.2372550869694003
24,2476.0,2.2044320095190195,2.2075860078170195,2.0143931984535524,2.0167060677892956,2.1690855660244246,2.169062141211749,2.2130887977059484,2.212380100518217,2.046763054714515,2.0476663385807727,2.1734886076761133,2.171365640451593,2.2631760885073984,2.263908835706147,2.25052666814086,2.2530434953862786,2.2568053105678203,2.254806341062601,2.191808519475032,2.194852262168415
25,2575.0,2.127811230470383,2.1238713879164295,2.0983704810371417,2.0943937828182837,2.1195448709086557,2.1188480429864263,2.1417056275128736,2.139661370296254,2.1764014837203884,2.1763918012091716,2.172731485024115,2.1735341961704266,2.2593842904748387,2.2598474887208386,2.1989795138163126,2.195744932716596,2.2523794666101202,2.2490774195695713,2.1677081428755187,2.1675382311489533
26,2674.0,2.0207271333107015,2.0188737152357756,2.182780058368636,2.1864559740505856,2.2358548614748663,2.2354397627729417,2.1592846772375,2.161630967066238,2.157634273288256,2.1588052318002426,2.2607851305853375,2.259860607457294,2.195724314121066,2.197569925036126,2.171290369715112,2.171320041914088,2.1907462713356574,2.1903158684358166,2.2539064914336575,2.2567556469341854
27,2773.0,2.042887267383735,2.0391245215222917,2.1669894509514624,2.1637036459528445,2.034867002920903,2.036006414393375,2.0631174230644858,2.0642028016185368,2.2406605161805637,2.2408182474138734,2.252817695323285,2.251871308522851,2.2468351415761814,2.2521751997870556,2.153746905539251,2.1525512723304057,2.2649151923491395,2.263176401972236,2.3184463463801275,2.3200005451318093
28,2872.0,2.093210019022856,2.0899167184330327,2.169538139613327,2.167643491716828,2.1239204243956173,2.1219779885514116,2.14811516093245,2.1477943893037366,2.2446322239488463,2.2438966661290007,2.2463897416699656,2.245054805311816,2.229124274594597,2.230833393285877,2.2611202687948917,2.2635665071262148,2.2604047033452477,2.259614173925903,2.2915708199079936,2.2905110539333773
29,2971.0,2.0721184044499403,2.0727227801054973,2.211004870771002,2.20960278150031,2.085300667076334,2.0854705792329162,2.2046153612266064,2.2013105030620945,2.194610839910737,2.1944040722508453,2.218352648603521,2.218744009468238,2.2010715645565013,2.199393055430415,2.2713243804258143,2.2682962543861174,2.221624390359328,2.221306116998286,2.2169921020253343,2.2170592544888605
30,3070.0,2.1468763950065584,2.146511582823179,2.13775859817312,2.138461672889091,2.2322838925839186,2.230234637740455,2.1931500201499823,2.1930216485764205,2.184453883936104,2.1853293697539007,2.224603477842423,2.2277340503649237,2.2109167908547183,2.209179874150591,2.162806919685207,2.165955919935547,2.2882503400033127,2.286703949785042,2.2791259821259957,2.2771904180879226
31,3169.0,2.160108938555287,2.1601717185246008,2.211473063273208,2.208961858598458,2.119656698881581,2.1175099938847493,2.1431898628277186,2.1393159235575134,2.2450498048492245,2.242217203377335,2.2123107625905725,2.2128539197067956,2.282367442419124,2.282788162824723,2.2626385555890756,2.262440532490851,2.317361296188424,2.3180290769073855,2.235615612871765,2.2348688107646075
32,3268.0,2.0776799103808625,2.075042209143242,2.202773492572314,2.2036692803111273,2.073228781138613,2.072713110239844,2.1977076665696003,2.1974303103483135,2.1508265419657526,2.150249339633628,2.34778121122617,2.343781085935834,2.22958247127907,2.2286398326218007,2.217248528743468,2.2169777309114163,2.243167656471731,2.2475735088051727,2.1955284743497834,2.1943746943434332
33,3367.0,2.151431850931179,2.148791026123604,2.1508318696380164,2.152026878514157,2.1695962370685486,2.171197910130716,2.1756440500843066,2.1788233482484007,2.1831817295145197,2.181267404237942,2.2053256325632327,2.2036421258088814,2.2162821517106215,2.2163146350207965,2.262321211725567,2.261521311692738,2.2053093735257034,2.210243078505721,2.1777254949857756,2.175460413059259
34,3466.0,2.2214029495472096,2.2228871838133246,2.123246407776107,2.120425675613346,2.147824650903022,2.1476637963004483,2.1519556456353324,2.15323998351849,2.2538621447970315,2.255009990320638,2.2348488206453117,2.237666118550142,2.2392962137370187,2.239855925335444,2.210741252546564,2.206856381373744,2.1700581862545527,2.1698779663028245,2.2443951474340005,2.240932870904642
35,3565.0,2.148090134288862,2.147135939063993,2.109919208600174,2.1059175232776535,2.201812424698389,2.203779222821865,2.1478221542873417,2.14616051151345,2.156081331126732,2.155556289594916,2.2747460547310125,2.2766844304518044,2.399127245571928,2.397680802906617,2.124558851095225,2.1255911311902302,2.1676138175613078,2.1690661933173883,2.1697421036308633,2.1685102389469226
36,3664.0,2.2536197579100916,2.2498813737234538,2.1915620869109835,2.194708276502269,2.2396728914826847,2.2459790137235167,2.154064869880034,2.1564789366066255,2.2136791161924028,2.2119337665217937,2.20073673094112,2.2016290831341556,2.2278749154079587,2.2297976742440526,2.3096468026062937,2.3060592776771465,2.097822034950931,2.100540944876384,2.1697111776940203,2.166213295113998
37,3763.0,2.172226433682692,2.1693982050633562,2.1383326873370074,2.136060109448411,2.1715024443946276,2.174216981754848,2.224085932701941,2.2254633472145016,2.375702135834381,2.376857477637926,2.219253428780398,2.218904858429946,2.2979528381068177,2.2983960461838824,2.212599992478378,2.215408230959976,2.240998148740029,2.243165155785334,2.240964104017695,2.2409256870884247
