,Duration,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11
135,2.2144578313253013e-07,1.159265226497104,1.1607307189110712,1.1359775786239112,1.137004235339505,1.2139213471753327,1.2172883566270885,1.3267249139657606,1.3260109078626536,1.3824576744434098,1.3846534148088367,1.5394356238977902,1.541250935963697,1.6240622213019884,1.6262876342974846,1.636264042003168,1.6376539492727833,1.6620710247232149,1.663149217781527,1.6488247461293022,1.6539364807572965,1.6649723476679337,1.6630442808358974,1.6649723476679337,1.6630442808358974
136,2.230120481927711e-07,1.1572228450864381,1.1610171335521657,1.1405761396584637,1.1402413126326545,1.2115247742901079,1.2125226959119049,1.3413998293026603,1.3408235645823239,1.541307483580937,1.5437858907827975,1.5402842472819085,1.5413121537031593,1.611184497560905,1.6130119908542435,1.6182433510526284,1.618989215639646,1.6539136768507814,1.6587580497584322,1.7149240413687425,1.7159663155878473,1.729256638327192,1.7338102244134481,1.729256638327192,1.7338102244134481
137,2.2457831325301206e-07,1.1238935142506477,1.1233797173389604,1.1327455013353698,1.1340342100703875,1.1939176269388685,1.197065062286859,1.3381233982462692,1.338785868251188,1.4896550942703457,1.4915884703257511,1.5205469455436778,1.52528637185148,1.5761394747505073,1.5793731166922194,1.6378638409399395,1.6388011693250046,1.6932908382727254,1.696266489090979,1.6626235524865165,1.6668704216297647,1.696082520840703,1.6959738269173708,1.696082520840703,1.6959738269173708
138,2.2614457831325303e-07,1.1540510467372493,1.154449278316845,1.1446406004714982,1.1470568511865706,1.2337095540741143,1.2347043524761097,1.3412920722167647,1.3439959871132765,1.4380592525310858,1.4405548380087738,1.565119229769791,1.5687607859985067,1.6386465616579493,1.6383542128796003,1.631098585315976,1.6306125863692256,1.6537696873383811,1.6584110402013588,1.702885569505051,1.7041948932849982,1.7110932078107322,1.713031581826414,1.7110932078107322,1.713031581826414
139,2.27710843373494e-07,1.1426044667118294,1.1439625147355286,1.1646468194096515,1.1659458353127612,1.2478531812772728,1.250101394094336,1.3341844959689049,1.3352523815789457,1.4226750217272253,1.427017152937914,1.5828054068590363,1.5851192115546853,1.6463813188546934,1.6450188975636768,1.6314368489019384,1.633338991386041,1.6930768871629998,1.695951652072607,1.6985040826762234,1.7018414218731897,1.705685062139475,1.7074810095288067,1.705685062139475,1.7074810095288067
140,2.2927710843373494e-07,1.1313699607242929,1.1341032352378633,1.1541422502788468,1.1560596965303844,1.2577927299770026,1.260079985148448,1.2636122249168136,1.2652270150736402,1.4233952710171494,1.4242829373810442,1.5582690187648573,1.561323066114972,1.6353673173598788,1.6373993926894923,1.6687794361439765,1.669289172625868,1.7208947074122831,1.724505655155637,1.7081700284826802,1.7095168330750161,1.6947891274297464,1.69436590851493,1.6947891274297464,1.69436590851493
141,2.308433734939759e-07,1.1299441353275406,1.1325215527801498,1.150198039113494,1.1510488493467772,1.2375294546453044,1.239184224254698,1.2988040333239543,1.299248490971447,1.4449419470757712,1.447953515993168,1.535388027240071,1.537168669791911,1.6063972819133983,1.6080511151288672,1.6268667091435236,1.6283699952332586,1.6732652449466654,1.6732493154676544,1.6783148225622386,1.6785312733414388,1.6936075491035028,1.6949474820303119,1.6936075491035028,1.6949474820303119
142,2.3240963855421687e-07,1.1181574173954207,1.1188517459469198,1.1538580218064893,1.15394391492658,1.2348552116805953,1.2382734447520292,1.3441118648993187,1.3425845291519423,1.4597945852907754,1.460421136426897,1.514102775474194,1.5158159527596355,1.6178707300586372,1.6171626583340886,1.6283956061822211,1.6293547982912333,1.6222431727037752,1.6234559840638259,1.6682806305606428,1.6675994197472574,1.6730575381486466,1.6720193245680681,1.6730575381486466,1.6720193245680681
143,2.3397590361445784e-07,1.1537127840713255,1.154113514454954,1.136225888202922,1.1350558680819909,1.2518835971650897,1.2517948929521936,1.3229659284433029,1.323748024631246,1.4443210177855481,1.4435835863890412,1.5309909243062279,1.5312536009300535,1.6445410180720523,1.6500391158806746,1.6190541821743363,1.620192344399819,1.6478261974798447,1.6490174572988192,1.707790849401908,1.709407202136982,1.7247155466029476,1.7261519924935242,1.7247155466029476,1.7261519924935242
144,2.355421686746988e-07,1.14957523572433,1.1511103795567084,1.1409103409741412,1.142154385503963,1.221532411787551,1.2218047709103785,1.3466945940817476,1.3495499932660147,1.5094676697968061,1.5100164486819383,1.5207755776222012,1.5265878874309802,1.6663987896918866,1.6659677623761953,1.668200046872742,1.6718544094102388,1.6161103917186288,1.620005879526654,1.6752629653034419,1.6775820802066024,1.6791312832571756,1.6804249901158428,1.6791312832571756,1.6804249901158428
145,2.3710843373493977e-07,1.1186256126888197,1.121861752114929,1.143416859219542,1.1437260743981155,1.2243981212070485,1.225699323438259,1.3528017495319322,1.3548041520997223,1.4490482622490117,1.4485841271854678,1.575087518232348,1.5775018960600975,1.641034394998861,1.6432538737136335,1.6283787428341265,1.6308174830386988,1.6516101779064631,1.653754695298202,1.6730284934141673,1.6734732638326222,1.7116013818013889,1.709797313670545,1.7116013818013889,1.709797313670545
146,2.386746987951807e-07,1.0939415041849885,1.0972357385027267,1.1513796166058894,1.1505322422112017,1.222515966456152,1.2238558988515427,1.31848729880082,1.3220448351907976,1.4372003226672114,1.4387357790255568,1.580264843623004,1.5819180519996885,1.5832504888037955,1.588700486066445,1.5783964391354355,1.5776936768478727,1.658506615875681,1.6585028678073317,1.731667269947435,1.7320208374792045,1.696412664057933,1.6999858187923018,1.696412664057933,1.6999858187923018
