,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12,Signal Run 13,Background Run 13,Signal Run 14,Background Run 14,Signal Run 15,Background Run 15,Signal Run 16,Background Run 16,Signal Run 17,Background Run 17
26,3.4337999999999997,1.8571427916866188,1.8563913046048384,1.865272350072803,1.8680118737387197,1.8509225660014108,1.849194083533682,1.8690169733564894,1.870859772105109,1.8955685792884969,1.894720267134312,1.866651944662211,1.8688979725567343,1.8496772704702864,1.8496229236672104,1.914394798483267,1.9159586788281235,1.8989571417646745,1.8985610961667831,1.9273193758924687,1.9271135446333278,1.9310124692887505,1.9302940901506913,1.9060903344305675,1.904188815993386,1.8714647721855535,1.8719788820019225,1.901566108053574,1.899704881306431,1.8487002819396758,1.8465919954384789,1.9236846900655586,1.9218743745261504,1.8950173010121263,1.8975581767812186,1.8950173010121263,1.8975581767812186
27,3.4351,1.819993847561536,1.822856432409734,1.8518555267311059,1.8537632916495295,1.8491784655621437,1.8493817980903304,1.8367567582584612,1.8388944045465285,1.8937314022994631,1.894391998949096,1.9019368533323404,1.9019343547748577,1.8890897358138639,1.8897322165851484,1.926328325332074,1.9288517104043394,1.896363792910336,1.8997595400256762,1.8389093961057097,1.836369769355576,1.885958539366067,1.8877635450602457,1.8767195599665834,1.8770406441831633,1.9054575357977852,1.9046857466295923,1.9114691208783057,1.9116343482449196,1.894962644288104,1.892423017609759,1.8571537251386485,1.857513539424425,1.879892617747358,1.8768719896622768,1.879892617747358,1.8768719896622768
28,3.4364,1.8077461075447687,1.8103079099595367,1.844024565548405,1.8436956730623715,1.827710488234778,1.827141094727734,1.8423882235065097,1.8440442434688353,1.9137301411985286,1.910210083061409,1.9113198225028003,1.9114713069368394,1.9023422695594618,1.8992220053023599,1.9226967617518236,1.9245570515011523,1.8342836574124568,1.8342380558165374,1.8876298672891039,1.8854153855760496,1.9002502260699776,1.8984164850534235,1.851054060046174,1.8515503664989335,1.9193325621799981,1.9176484313654032,1.9275436355160849,1.9280402540149821,1.88811898720909,1.887734185821063,1.903881162188552,1.9015273772424108,1.9069183455060157,1.9074352662195757,1.9069183455060157,1.9074352662195757
29,3.4377,1.8482252070755067,1.8492677939786817,1.8022042826696663,1.800363045684258,1.8408586983956159,1.8412866026105412,1.8751847276217204,1.8758181506209404,1.8829110512220482,1.8831056382855291,1.9232564734188404,1.9226911401480111,1.8714272918890504,1.8720910119292213,1.8691715834322142,1.8725885695971072,1.8976250182560102,1.8977512032012465,1.8817479050550106,1.8806344177243814,1.8954186578314893,1.8980978995244069,1.878756945739979,1.8777234167232728,1.8702382212039432,1.871763683753199,1.8868605736287176,1.8865232477759029,1.8991870231138472,1.8974760312446985,1.9212906127726403,1.9177817990477144,1.8608318252579514,1.8605604029168792,1.8608318252579514,1.8605604029168792
30,3.439,1.841977184685912,1.8399088776659334,1.821749190623227,1.8230350890241278,1.9116746391523631,1.9120157132196327,1.8606909608384505,1.8568282675356778,1.8871373076891964,1.8871135699760913,1.9124361218221229,1.9130451826400774,1.919861038888359,1.9201640072340542,1.9325201287117046,1.9322927461256736,1.890083601310742,1.891708075117825,1.9019249846782593,1.9036793914297745,1.884035157925284,1.8812531564286223,1.8973560947179373,1.895214075315402,1.867167616732278,1.8663536619885024,1.9325369953885942,1.9314188224468067,1.841642983935972,1.8411163808181756,1.8847110586274025,1.8863836326590562,1.8662674592789603,1.8684257202549543,1.8662674592789603,1.8684257202549543
31,3.4402999999999997,1.8550057694896704,1.854624091564972,1.8393273029399324,1.8410026881912775,1.8996714613316226,1.8992373103977631,1.8468000061031302,1.8450284209287746,1.8925885543443532,1.892473613629865,1.9445689101062222,1.944499883355069,1.9078288121977935,1.9066775313520836,1.8714703941308157,1.869274652673695,1.8712711223281508,1.8702591446117345,1.919306638801393,1.920238345481731,1.929515742086496,1.9297637390444862,1.9115949930249254,1.9124514260054735,1.8762085741607213,1.874201797677825,1.9109793729051228,1.9133756359795948,1.914200835777271,1.9189899261252727,1.86864466577593,1.8652173725675432,1.8789246711135164,1.8808368089894036,1.8789246711135164,1.8808368089894036
32,3.4415999999999998,1.770842975934933,1.7700992974999954,1.8495717008757315,1.84742562118662,1.9201593225963027,1.9174485342857879,1.9056280731189679,1.9034426388342467,1.895577012467492,1.8937301532828683,1.924278445493364,1.9221086281204984,1.9003017607956463,1.900168704638977,1.8889473094183604,1.890343463623109,1.901957469901135,1.9037000077679644,1.891547217129269,1.8913926095566427,1.8746774883038628,1.8787688136675569,1.8955479639991772,1.897074988387998,1.8900607967386576,1.8895079570902396,1.9208249163710203,1.9202742628637948,1.8912845409232202,1.890952524757864,1.9158321808027103,1.9179879429289366,1.8699646116235067,1.871721516921026,1.8699646116235067,1.871721516921026
33,3.4429,1.8337483068956772,1.8328031699513245,1.8271036132567893,1.8275430739524494,1.8970768637552429,1.8945812769220967,1.8666878631466197,1.866961471969838,1.875901232133127,1.8757063327656005,1.8694142697385974,1.872567641760973,1.8826739859355617,1.8833608189547557,1.9538525555131065,1.9520915893021131,1.872406161685765,1.8722168845614013,1.8910143675103672,1.8934730982759729,1.9031365465977925,1.9023916186522507,1.9368432101694775,1.9349929151344372,1.891647165725164,1.892196257306161,1.8811047960936962,1.8818956378501392,1.897239278761669,1.8936833019185524,1.9134352932456815,1.9118732870719268,1.8899346121966123,1.8865316812877635,1.8899346121966123,1.8865316812877635
34,3.4442,1.8245639884582454,1.8251680517004358,1.8244256219130657,1.8249234898603768,1.8479103710148495,1.8477576375283302,1.8545269537252198,1.854257405569997,1.9028726213143372,1.9011997347119294,1.9333643803073624,1.9306988811431525,1.9259060425395047,1.9288588934620712,1.8908516391198722,1.8887783344547489,1.9305414629371276,1.931143964484659,1.9006528354171568,1.9002973945590005,1.922008367509711,1.9192241797289575,1.8813843415383589,1.8809614348604278,1.9321596899586844,1.9329645869610654,1.9026052582846658,1.9018144166125426,1.9010729260426091,1.9010160802174223,1.9040185929268416,1.904107921731891,1.8766071195301506,1.8781032221155582,1.8766071195301506,1.8781032221155582
35,3.4455,1.8556885429028398,1.85330383658754,1.8522293902473368,1.8512617649479974,1.8452170736156517,1.8449322208330095,1.9044383752908667,1.9046548260029608,1.8866191359454865,1.8850536942259906,1.8969962789694854,1.898419294386739,1.891066840481481,1.8879487625449696,1.9203295468430535,1.9201290253424619,1.8954951786607839,1.8974601018183026,1.9341030618854107,1.9333762494283162,1.9064470250525758,1.9066822161032821,1.9193531758295475,1.9190555173134063,1.8558044198616581,1.8560755298900913,1.9058485840534796,1.9046192185129465,1.9068992921879924,1.9072425527089305,1.8962438552622507,1.8985595347954105,1.9024856366661762,1.9044799193850113,1.9024856366661762,1.9044799193850113
36,3.4468,1.8292793647605452,1.8272313599062249,1.866157513449512,1.8645539664450257,1.8563225899303188,1.854146838261629,1.8653997827970903,1.8682954754449166,1.8477373366728982,1.8470511282070847,1.8377022065064201,1.8361798674690404,1.9206350139932542,1.922994108723325,1.8470364466973208,1.8464504991241952,1.9350054113552593,1.9356909948180006,1.8792751151958829,1.8797280065769766,1.9270264037201814,1.9280283862560603,1.8835910120331718,1.8862746265496682,1.8683448200973625,1.8695160904779209,1.913923167295196,1.9129514814048938,1.9392297900240756,1.9379629440411832,1.8658239342239724,1.8679746989573083,1.9071123070897151,1.9056577454819539,1.9071123070897151,1.9056577454819539
37,3.4480999999999997,1.8129321846941193,1.814174355648949,1.8380264109678102,1.833614313984539,1.9250386789467715,1.9261705946642267,1.8668181088552442,1.8650518331866937,1.9183130876324725,1.9228766696573236,1.8742252224202611,1.8746203307907399,1.911052462967136,1.908214552827306,1.8927715848901727,1.8912836030571543,1.916231663171208,1.9169106874213122,1.917129011625384,1.915350554524703,1.9018187896145378,1.9004270081046661,1.92121940049517,1.9203660906568665,1.8903100434908746,1.8906464322813863,1.8736608312425804,1.8726391711306591,1.8961095498124736,1.8969912822922212,1.8964740489310312,1.8956135555319702,1.8526444905372368,1.8515441208933034,1.8526444905372368,1.8515441208933034
38,3.4494,1.8598170376471788,1.862659320272515,1.831967978187074,1.8309072758342348,1.908926058598786,1.908866402006732,1.883385805724739,1.8843153257998704,1.8691156725150846,1.8674006202546598,1.8369441583445965,1.8363813239195943,1.9153811635151348,1.9150119790386007,1.8505102799560995,1.8513595289959868,1.9044355652986866,1.9046201576830817,1.9633439061578783,1.965811070181206,1.9184736295331257,1.9164709132770634,1.9239333113424057,1.9227895264109984,1.8752434459982892,1.8779401790113988,1.8691747042725013,1.8716275005118181,1.923878339731123,1.9278372335669554,1.9024469038035827,1.899851056105645,1.8604057946669619,1.8609505135304751,1.8604057946669619,1.8609505135304751
